timestamp_s x y theta
0.000000 1.682000 1.977112 0.003746
0.100000 1.712000 1.977225 0.003746
0.200000 1.741999 1.977337 0.003746
0.300000 1.771999 1.977450 0.003746
0.400000 1.801999 1.977562 0.003746
0.500000 1.831999 1.977674 0.003746
0.600000 1.861999 1.977787 0.003746
0.700000 1.891998 1.977899 0.003746
0.800000 1.921998 1.978011 0.003746
0.900000 1.951998 1.978124 0.003746
1.000000 1.981998 1.978236 0.003746
1.100000 2.011997 1.978349 0.003746
1.200000 2.041997 1.978461 0.003746
1.300000 2.071997 1.978573 0.003746
1.400000 2.101997 1.978686 0.003746
1.500000 2.131997 1.978798 0.003746
1.600000 2.161996 1.978911 0.003746
1.700000 2.191996 1.979023 0.003746
1.800000 2.221996 1.979135 0.003746
1.900000 2.251996 1.979248 0.003746
2.000000 2.281996 1.979360 0.003746
2.100000 2.311995 1.979472 0.003746
2.200000 2.341995 1.979585 0.003746
2.300000 2.371995 1.979697 0.003746
2.400000 2.401995 1.979810 0.003746
2.500000 2.431995 1.979922 0.003746
2.600000 2.461994 1.980034 0.003746
2.700000 2.491994 1.980147 0.003746
2.800000 2.521994 1.980259 0.003746
2.900000 2.551994 1.980372 0.003746
3.000000 2.581993 1.980484 0.003746
3.100000 2.611993 1.980596 0.003746
3.200000 2.641993 1.980709 0.003746
3.300000 2.671993 1.980821 0.003746
3.400000 2.701993 1.980933 0.003746
3.500000 2.731992 1.981046 0.003746
3.600000 2.761992 1.981158 0.003746
3.700000 2.791992 1.981271 0.003746
3.800000 2.821992 1.981383 0.003746
3.900000 2.851992 1.981495 0.003746
4.000000 2.881991 1.981608 0.003746
4.100000 2.911991 1.981720 0.003746
4.200000 2.941991 1.981832 0.003746
4.300000 2.971991 1.981945 0.003746
4.400000 3.001991 1.982057 0.003746
4.500000 3.031990 1.982170 0.003746
4.600000 3.061990 1.982282 0.003746
4.700000 3.091990 1.982394 0.003746
4.800000 3.121990 1.982507 0.003746
4.900000 3.151989 1.982619 0.003746
5.000000 3.181989 1.982732 0.003746
5.100000 3.211989 1.982844 0.003746
5.200000 3.241989 1.982956 0.003746
5.300000 3.271989 1.983069 0.003746
5.400000 3.301988 1.983181 0.003746
5.500000 3.331988 1.983293 0.003746
5.600000 3.361988 1.983406 0.003746
5.700000 3.391988 1.983518 0.003746
5.800000 3.421988 1.983631 0.003746
5.900000 3.451987 1.983743 0.003746
6.000000 3.481987 1.983855 0.003746
6.100000 3.511987 1.983968 0.003746
6.200000 3.541987 1.984080 0.003746
6.300000 3.571987 1.984193 0.003746
6.400000 3.601986 1.984305 0.003746
6.500000 3.631986 1.984417 0.003746
6.600000 3.661986 1.984530 0.003746
6.700000 3.691986 1.984642 0.003746
6.800000 3.721985 1.984754 0.003746
6.900000 3.751985 1.984867 0.003746
7.000000 3.781985 1.984979 0.003746
7.100000 3.811985 1.985092 0.003746
7.200000 3.841985 1.985204 0.003746
7.300000 3.871984 1.985316 0.003746
7.400000 3.901984 1.985429 0.003746
7.500000 3.931984 1.985541 0.003746
7.600000 3.961984 1.985654 0.003746
7.700000 3.991984 1.985766 0.003746
7.800000 4.021983 1.985878 0.003746
7.900000 4.051983 1.985991 0.003746
8.000000 4.081983 1.986103 0.003746
8.100000 4.111983 1.986215 0.003746
8.200000 4.141983 1.986328 0.003746
8.300000 4.171982 1.986440 0.003746
8.400000 4.201982 1.986553 0.003746
8.500000 4.231982 1.986665 0.003746
8.600000 4.261982 1.986777 0.003746
8.700000 4.291981 1.986890 0.003746
8.800000 4.321981 1.987002 0.003746
8.900000 4.351981 1.987115 0.003746
9.000000 4.381981 1.987227 0.003746
9.100000 4.411981 1.987339 0.003746
9.200000 4.441980 1.987452 0.003746
9.300000 4.471980 1.987564 0.003746
9.400000 4.501980 1.987676 0.003746
9.500000 4.531980 1.987789 0.003746
9.600000 4.561980 1.987901 0.003746
9.700000 4.591979 1.988014 0.003746
9.800000 4.621979 1.988126 0.003746
9.900000 4.651979 1.988238 0.003746
10.000000 4.681979 1.988351 0.003746
10.100000 4.711979 1.988463 0.003746
10.200000 4.741978 1.988576 0.003746
10.300000 4.771978 1.988688 0.003746
10.400000 4.801978 1.988800 0.003746
10.500000 4.831978 1.988913 0.003746
10.600000 4.861977 1.989025 0.003746
10.700000 4.891977 1.989137 0.003746
10.800000 4.921977 1.989250 0.003746
10.900000 4.951977 1.989362 0.003746
11.000000 4.981977 1.989475 0.003746
11.100000 5.011976 1.989587 0.003746
11.200000 5.041976 1.989699 0.003746
11.300000 5.071976 1.989812 0.003746
11.400000 5.101976 1.989924 0.003746
11.500000 5.131976 1.990036 0.003746
11.600000 5.161975 1.990149 0.003746
11.700000 5.191975 1.990261 0.003746
11.800000 5.221691 1.990373 0.003746
11.900000 5.250523 1.990481 0.003746
12.000000 5.278496 1.990585 0.003746
12.100000 5.305636 1.990687 0.003746
12.200000 5.331968 1.990786 0.003746
12.300000 5.357516 1.990881 0.003746
12.400000 5.382303 1.990974 0.003746
12.500000 5.406352 1.991064 0.003746
12.600000 5.429685 1.991152 0.003746
12.700000 5.452323 1.991237 0.003746
12.800000 5.474288 1.991319 0.003746
12.900000 5.495598 1.991399 0.003746
13.000000 5.516274 1.991476 0.003746
13.100000 5.536334 1.991551 0.003746
13.200000 5.555797 1.991624 0.003746
13.300000 5.574680 1.991695 0.003746
13.400000 5.593002 1.991764 0.003746
13.500000 5.610777 1.991830 0.003746
13.600000 5.628024 1.991895 0.003746
13.700000 5.644756 1.991957 0.003746
13.800000 5.660991 1.992018 0.003746
13.900000 5.676742 1.992077 0.003746
14.000000 5.692025 1.992135 0.003746
14.100000 5.706852 1.992190 0.003746
14.200000 5.721237 1.992244 0.003746
14.300000 5.735195 1.992296 0.003746
14.400000 5.748737 1.992347 0.003746
14.500000 5.761875 1.992396 0.003746
14.600000 5.774623 1.992444 0.003746
14.700000 5.786991 1.992490 0.003746
14.800000 5.798990 1.992535 0.003746
14.900000 5.810633 1.992579 0.003746
15.000000 5.821928 1.992621 0.003746
15.100000 5.832888 1.992662 0.003746
15.200000 5.843521 1.992702 0.003746
15.300000 5.852573 1.992741 0.007496
15.400000 5.859626 1.992806 0.016246
15.500000 5.865624 1.992923 0.029996
15.600000 5.871621 1.993129 0.048746
15.700000 5.877612 1.993455 0.072496
15.800000 5.883593 1.993931 0.101246
15.900000 5.889982 1.994634 0.134996
16.000000 5.897253 1.995693 0.173746
16.100000 5.905500 1.997234 0.217496
16.200000 5.914799 1.999409 0.266246
16.300000 5.925195 2.002396 0.319996
16.400000 5.936702 2.006399 0.378746
16.500000 5.949292 2.011645 0.442496
16.600000 5.962886 2.018377 0.511246
16.700000 5.977349 2.026847 0.584996
16.800000 5.992479 2.037305 0.663746
16.900000 6.008005 2.049984 0.747496
17.000000 6.023581 2.065082 0.835785
17.100000 6.038803 2.082683 0.921113
17.200000 6.053299 2.102605 1.001441
17.300000 6.066780 2.124592 1.076769
17.400000 6.079038 2.148370 1.147096
17.500000 6.089940 2.173664 1.212424
17.600000 6.099415 2.200206 1.272752
17.700000 6.107450 2.227749 1.328080
17.800000 6.114075 2.256071 1.378408
17.900000 6.119357 2.284978 1.423735
18.000000 6.123390 2.314308 1.464063
18.100000 6.126289 2.343928 1.499391
18.200000 6.128185 2.373735 1.529719
18.300000 6.129215 2.403650 1.555047
18.400000 6.129525 2.433619 1.575375
18.500000 6.129264 2.463607 1.590702
18.600000 6.128580 2.493597 1.601030
18.700000 6.127624 2.523582 1.606358
18.800000 6.126545 2.553562 1.607054
18.900000 6.125459 2.583543 1.606880
19.000000 6.124378 2.613523 1.606723
19.100000 6.123302 2.643504 1.606580
19.200000 6.122229 2.673485 1.606451
19.300000 6.121161 2.703466 1.606333
19.400000 6.120096 2.733447 1.606226
19.500000 6.119034 2.763428 1.606129
19.600000 6.117975 2.793409 1.606041
19.700000 6.116918 2.823391 1.605960
19.800000 6.115866 2.853315 1.605887
19.900000 6.114842 2.882515 1.605820
20.000000 6.113849 2.910845 1.605759
20.100000 6.112888 2.938331 1.605703
20.200000 6.111957 2.964999 1.605652
20.300000 6.111056 2.990873 1.605605
20.400000 6.110182 3.015977 1.605563
20.500000 6.109335 3.040334 1.605524
20.600000 6.108514 3.063965 1.605489
20.700000 6.107718 3.086892 1.605457
20.800000 6.106947 3.109137 1.605428
20.900000 6.106200 3.130720 1.605401
21.000000 6.105475 3.151660 1.605376
21.100000 6.104772 3.171976 1.605354
21.200000 6.104091 3.191688 1.605334
21.300000 6.103430 3.210813 1.605315
21.400000 6.102789 3.229368 1.605298
21.500000 6.102168 3.247371 1.605283
21.600000 6.101566 3.264838 1.605269
21.700000 6.100981 3.281785 1.605256
21.800000 6.100414 3.298227 1.605244
21.900000 6.099865 3.314179 1.605233
22.000000 6.099332 3.329657 1.605223
22.100000 6.098814 3.344674 1.605215
22.200000 6.098313 3.359243 1.605206
22.300000 6.097826 3.373379 1.605199
22.400000 6.097354 3.387094 1.605192
22.500000 6.096896 3.400401 1.605186
22.600000 6.096452 3.413311 1.605180
22.700000 6.096021 3.425837 1.605175
22.800000 6.095603 3.437990 1.605170
22.900000 6.095198 3.449781 1.605166
23.000000 6.094805 3.461221 1.605162
23.100000 6.094423 3.472321 1.605159
23.200000 6.094053 3.483090 1.605155
23.300000 6.093708 3.493117 1.606402
23.400000 6.093413 3.501146 1.612649
23.500000 6.093136 3.507406 1.623896
23.600000 6.092795 3.513396 1.640143
23.700000 6.092349 3.519380 1.661390
23.800000 6.091769 3.525352 1.687637
23.900000 6.091025 3.531305 1.718884
24.000000 6.089984 3.537870 1.755131
24.100000 6.088496 3.545419 1.796378
24.200000 6.086411 3.554040 1.842625
24.300000 6.083556 3.563795 1.893872
24.400000 6.079728 3.574712 1.950119
24.500000 6.074700 3.586781 2.011366
24.600000 6.068226 3.599937 2.077613
24.700000 6.060050 3.614060 2.148860
24.800000 6.049915 3.628963 2.225107
24.900000 6.037577 3.644384 2.306354
25.000000 6.022830 3.659987 2.392601
25.100000 6.005553 3.675365 2.476594
25.200000 5.985913 3.690131 2.555587
