timestamp_s x y theta
0.000000 1.681993 1.977396 0.040312
0.100000 1.711926 1.978849 0.071879
0.200000 1.741746 1.981205 0.098445
0.300000 1.771429 1.984307 0.120011
0.400000 1.800973 1.988004 0.136577
0.500000 1.830395 1.992143 0.148144
0.600000 1.859725 1.996579 0.154710
0.700000 1.889002 2.001166 0.156276
0.800000 1.918272 2.005761 0.152842
0.900000 1.947579 2.010222 0.144409
1.000000 1.976966 2.014404 0.130975
1.100000 2.006465 2.018168 0.115137
1.200000 2.036073 2.021483 0.101037
1.300000 2.065766 2.024396 0.088483
1.400000 2.095526 2.026950 0.077305
1.500000 2.125340 2.029183 0.067351
1.600000 2.155194 2.031128 0.058487
1.700000 2.185082 2.032817 0.050593
1.800000 2.214994 2.034278 0.043562
1.900000 2.244927 2.035534 0.037300
2.000000 2.274875 2.036609 0.031722
2.100000 2.304836 2.037521 0.026753
2.200000 2.334805 2.038289 0.022326
2.300000 2.364782 2.038928 0.018382
2.400000 2.394765 2.039452 0.014868
2.500000 2.424752 2.039874 0.011737
2.600000 2.454742 2.040204 0.008947
2.700000 2.484734 2.040453 0.006461
2.800000 2.514729 2.040630 0.004245
2.900000 2.544724 2.040742 0.002270
3.000000 2.574721 2.040797 0.000510
3.100000 2.604719 2.040800 -0.001060
3.200000 2.634716 2.040757 -0.002459
3.300000 2.664715 2.040674 -0.003706
3.400000 2.694713 2.040554 -0.004818
3.500000 2.724712 2.040402 -0.005810
3.600000 2.754710 2.040221 -0.006694
3.700000 2.784709 2.040014 -0.007483
3.800000 2.814708 2.039784 -0.008186
3.900000 2.844706 2.039534 -0.008813
4.000000 2.874705 2.039265 -0.009373
4.100000 2.904703 2.038980 -0.009872
4.200000 2.934701 2.038680 -0.010318
4.300000 2.964700 2.038368 -0.010715
4.400000 2.994698 2.038044 -0.011070
4.500000 3.024696 2.037709 -0.011387
4.600000 3.054694 2.037365 -0.011669
4.700000 3.084692 2.037013 -0.011921
4.800000 3.114689 2.036654 -0.012146
4.900000 3.144687 2.036288 -0.012347
5.000000 3.174685 2.035916 -0.012527
5.100000 3.204682 2.035539 -0.012687
5.200000 3.234680 2.035157 -0.012830
5.300000 3.264677 2.034772 -0.012958
5.400000 3.294675 2.034382 -0.013072
5.500000 3.324672 2.033989 -0.013174
5.600000 3.354670 2.033593 -0.013265
5.700000 3.384667 2.033194 -0.013347
5.800000 3.414664 2.032793 -0.013420
5.900000 3.444662 2.032390 -0.013485
6.000000 3.474659 2.031985 -0.013543
6.100000 3.504656 2.031579 -0.013595
6.200000 3.534653 2.031171 -0.013641
6.300000 3.564650 2.030761 -0.013683
6.400000 3.594648 2.030350 -0.013720
6.500000 3.624645 2.029938 -0.013753
6.600000 3.654642 2.029526 -0.013783
6.700000 3.684639 2.029112 -0.013810
6.800000 3.714636 2.028697 -0.013834
6.900000 3.744633 2.028282 -0.013855
7.000000 3.774631 2.027866 -0.013874
7.100000 3.804628 2.027450 -0.013891
7.200000 3.834625 2.027033 -0.013906
7.300000 3.864622 2.026616 -0.013920
7.400000 3.894619 2.026198 -0.013932
7.500000 3.924616 2.025780 -0.013943
7.600000 3.954613 2.025362 -0.013953
7.700000 3.984610 2.024943 -0.013962
7.800000 4.014607 2.024524 -0.013970
7.900000 4.044604 2.024105 -0.013977
8.000000 4.074601 2.023686 -0.013983
8.100000 4.104598 2.023266 -0.013989
8.200000 4.134596 2.022847 -0.013994
8.300000 4.164593 2.022427 -0.013999
8.400000 4.194590 2.022007 -0.014003
8.500000 4.224587 2.021587 -0.014007
8.600000 4.254584 2.021167 -0.014010
8.700000 4.284581 2.020746 -0.014013
8.800000 4.314578 2.020326 -0.014016
8.900000 4.344575 2.019905 -0.014018
9.000000 4.374572 2.019485 -0.014020
9.100000 4.404569 2.019064 -0.014022
9.200000 4.434566 2.018644 -0.014024
9.300000 4.464563 2.018223 -0.014026
9.400000 4.494560 2.017802 -0.014027
9.500000 4.524557 2.017381 -0.014028
9.600000 4.554554 2.016960 -0.014029
9.700000 4.584551 2.016539 -0.014030
9.800000 4.614548 2.016119 -0.014031
9.900000 4.644545 2.015698 -0.014032
10.000000 4.674542 2.015277 -0.014033
10.100000 4.704540 2.014856 -0.014034
10.200000 4.734537 2.014435 -0.014034
10.300000 4.764534 2.014014 -0.014035
10.400000 4.794531 2.013593 -0.014035
10.500000 4.824528 2.013172 -0.014036
10.600000 4.854525 2.012751 -0.014036
10.700000 4.884522 2.012329 -0.014037
10.800000 4.914519 2.011908 -0.014037
10.900000 4.944516 2.011487 -0.014037
11.000000 4.974513 2.011066 -0.014038
11.100000 5.004510 2.010645 -0.014038
11.200000 5.034507 2.010224 -0.014038
11.300000 5.064504 2.009803 -0.014038
11.400000 5.094501 2.009382 -0.014038
11.500000 5.124498 2.008961 -0.014039
11.600000 5.154495 2.008539 -0.014039
11.700000 5.184492 2.008118 -0.014039
11.800000 5.214348 2.007699 -0.014039
11.900000 5.243398 2.007291 -0.014039
12.000000 5.271583 2.006895 -0.014039
12.100000 5.298929 2.006512 -0.014039
12.200000 5.325461 2.006139 -0.014039
12.300000 5.351203 2.005778 -0.014040
12.400000 5.376178 2.005427 -0.014040
12.500000 5.400409 2.005087 -0.014040
12.600000 5.423919 2.004757 -0.014040
12.700000 5.446729 2.004436 -0.014040
12.800000 5.468860 2.004126 -0.014040
12.900000 5.490332 2.003824 -0.014040
13.000000 5.511165 2.003532 -0.014040
13.100000 5.531377 2.003248 -0.014040
13.200000 5.550988 2.002972 -0.014040
13.300000 5.570014 2.002705 -0.014040
13.400000 5.588474 2.002446 -0.014040
13.500000 5.606385 2.002195 -0.014040
13.600000 5.623762 2.001951 -0.014040
13.700000 5.640622 2.001714 -0.014040
13.800000 5.656979 2.001484 -0.014040
13.900000 5.672850 2.001261 -0.014040
14.000000 5.688248 2.001045 -0.014040
14.100000 5.703188 2.000835 -0.014040
14.200000 5.717683 2.000632 -0.014040
14.300000 5.731746 2.000434 -0.014040
14.400000 5.745390 2.000243 -0.014040
14.500000 5.758629 2.000057 -0.014040
14.600000 5.771473 1.999877 -0.014040
14.700000 5.783934 1.999702 -0.014040
14.800000 5.796025 1.999532 -0.014040
14.900000 5.807756 1.999367 -0.014040
15.000000 5.819137 1.999207 -0.014040
15.100000 5.830179 1.999052 -0.014040
15.200000 5.840893 1.998902 -0.014040
15.300000 5.850026 1.998779 -0.010290
15.400000 5.857159 1.998718 -0.001540
15.500000 5.863159 1.998728 0.012210
15.600000 5.869159 1.998827 0.030960
15.700000 5.875154 1.999047 0.054710
15.800000 5.881143 1.999416 0.083460
15.900000 5.887202 1.999973 0.117210
16.000000 5.894030 2.000844 0.155960
16.100000 5.901856 2.002163 0.199710
16.200000 5.910759 2.004079 0.248460
16.300000 5.920792 2.006770 0.302210
16.400000 5.931972 2.010438 0.360960
16.500000 5.944280 2.015311 0.424710
16.600000 5.957642 2.021635 0.493460
16.700000 5.971931 2.029666 0.567210
16.800000 5.986953 2.039660 0.645960
16.900000 6.002444 2.051857 0.729710
17.000000 6.018063 2.066467 0.818460
17.100000 6.033406 2.083608 0.904710
17.200000 6.048085 2.103112 0.985960
17.300000 6.061798 2.124731 1.062210
17.400000 6.074322 2.148193 1.133460
17.500000 6.085509 2.173221 1.199710
17.600000 6.095279 2.199546 1.260960
17.700000 6.103609 2.226917 1.317210
17.800000 6.110520 2.255107 1.368460
17.900000 6.116073 2.283917 1.414710
18.000000 6.120359 2.313178 1.455960
