timestamp_s x y theta
0.000000 1.667000 1.977056 0.003746
0.100000 1.682000 1.977112 0.003746
0.200000 1.697000 1.977169 0.003746
0.300000 1.712000 1.977225 0.003746
0.400000 1.726999 1.977281 0.003746
0.500000 1.741999 1.977337 0.003746
0.600000 1.756999 1.977393 0.003746
0.700000 1.771999 1.977450 0.003746
0.800000 1.786999 1.977506 0.003746
0.900000 1.801999 1.977562 0.003746
1.000000 1.816999 1.977618 0.003746
1.100000 1.831999 1.977674 0.003746
1.200000 1.846999 1.977730 0.003746
1.300000 1.861999 1.977787 0.003746
1.400000 1.876998 1.977843 0.003746
1.500000 1.891998 1.977899 0.003746
1.600000 1.906998 1.977955 0.003746
1.700000 1.921998 1.978011 0.003746
1.800000 1.936998 1.978068 0.003746
1.900000 1.951998 1.978124 0.003746
2.000000 1.966998 1.978180 0.003746
2.100000 1.981998 1.978236 0.003746
2.200000 1.996998 1.978292 0.003746
2.300000 2.011997 1.978349 0.003746
2.400000 2.026997 1.978405 0.003746
2.500000 2.041997 1.978461 0.003746
2.600000 2.056997 1.978517 0.003746
2.700000 2.071997 1.978573 0.003746
2.800000 2.086997 1.978630 0.003746
2.900000 2.101997 1.978686 0.003746
3.000000 2.116997 1.978742 0.003746
3.100000 2.131997 1.978798 0.003746
3.200000 2.146997 1.978854 0.003746
3.300000 2.161996 1.978911 0.003746
3.400000 2.176996 1.978967 0.003746
3.500000 2.191996 1.979023 0.003746
3.600000 2.206996 1.979079 0.003746
3.700000 2.221996 1.979135 0.003746
3.800000 2.236996 1.979191 0.003746
3.900000 2.251996 1.979248 0.003746
4.000000 2.266996 1.979304 0.003746
4.100000 2.281996 1.979360 0.003746
4.200000 2.296995 1.979416 0.003746
4.300000 2.311995 1.979472 0.003746
4.400000 2.326995 1.979529 0.003746
4.500000 2.341995 1.979585 0.003746
4.600000 2.356995 1.979641 0.003746
4.700000 2.371995 1.979697 0.003746
4.800000 2.386995 1.979753 0.003746
4.900000 2.401995 1.979810 0.003746
5.000000 2.416995 1.979866 0.003746
5.100000 2.431995 1.979922 0.003746
5.200000 2.446994 1.979978 0.003746
5.300000 2.461994 1.980034 0.003746
5.400000 2.476994 1.980091 0.003746
5.500000 2.491994 1.980147 0.003746
5.600000 2.506994 1.980203 0.003746
5.700000 2.521994 1.980259 0.003746
5.800000 2.536994 1.980315 0.003746
5.900000 2.551994 1.980372 0.003746
6.000000 2.566994 1.980428 0.003746
6.100000 2.581993 1.980484 0.003746
6.200000 2.596993 1.980540 0.003746
6.300000 2.611993 1.980596 0.003746
6.400000 2.626993 1.980652 0.003746
6.500000 2.641993 1.980709 0.003746
6.600000 2.656993 1.980765 0.003746
6.700000 2.671993 1.980821 0.003746
6.800000 2.686993 1.980877 0.003746
6.900000 2.701993 1.980933 0.003746
7.000000 2.716993 1.980990 0.003746
7.100000 2.731992 1.981046 0.003746
7.200000 2.746992 1.981102 0.003746
7.300000 2.761992 1.981158 0.003746
7.400000 2.776992 1.981214 0.003746
7.500000 2.791992 1.981271 0.003746
7.600000 2.806992 1.981327 0.003746
7.700000 2.821992 1.981383 0.003746
7.800000 2.836992 1.981439 0.003746
7.900000 2.851992 1.981495 0.003746
8.000000 2.866991 1.981552 0.003746
8.100000 2.881991 1.981608 0.003746
8.200000 2.896991 1.981664 0.003746
8.300000 2.911991 1.981720 0.003746
8.400000 2.926991 1.981776 0.003746
8.500000 2.941991 1.981832 0.003746
8.600000 2.956991 1.981889 0.003746
8.700000 2.971991 1.981945 0.003746
8.800000 2.986991 1.982001 0.003746
8.900000 3.001991 1.982057 0.003746
9.000000 3.016990 1.982113 0.003746
9.100000 3.031990 1.982170 0.003746
9.200000 3.046990 1.982226 0.003746
9.300000 3.061990 1.982282 0.003746
9.400000 3.076990 1.982338 0.003746
9.500000 3.091990 1.982394 0.003746
9.600000 3.106990 1.982451 0.003746
9.700000 3.121990 1.982507 0.003746
9.800000 3.136990 1.982563 0.003746
9.900000 3.151989 1.982619 0.003746
10.000000 3.166989 1.982675 0.003746
10.100000 3.181989 1.982732 0.003746
10.200000 3.196989 1.982788 0.003746
10.300000 3.211989 1.982844 0.003746
10.400000 3.226989 1.982900 0.003746
10.500000 3.241989 1.982956 0.003746
10.600000 3.256989 1.983013 0.003746
10.700000 3.271989 1.983069 0.003746
10.800000 3.286989 1.983125 0.003746
10.900000 3.301988 1.983181 0.003746
11.000000 3.316988 1.983237 0.003746
11.100000 3.331988 1.983293 0.003746
11.200000 3.346988 1.983350 0.003746
11.300000 3.361988 1.983406 0.003746
11.400000 3.376988 1.983462 0.003746
11.500000 3.391988 1.983518 0.003746
11.600000 3.406988 1.983574 0.003746
11.700000 3.421988 1.983631 0.003746
11.800000 3.436987 1.983687 0.003746
11.900000 3.451987 1.983743 0.003746
12.000000 3.466987 1.983799 0.003746
12.100000 3.481987 1.983855 0.003746
12.200000 3.496987 1.983912 0.003746
12.300000 3.511987 1.983968 0.003746
12.400000 3.526987 1.984024 0.003746
12.500000 3.541987 1.984080 0.003746
12.600000 3.556987 1.984136 0.003746
12.700000 3.571987 1.984193 0.003746
12.800000 3.586986 1.984249 0.003746
12.900000 3.601986 1.984305 0.003746
13.000000 3.616986 1.984361 0.003746
13.100000 3.631986 1.984417 0.003746
13.200000 3.646986 1.984474 0.003746
13.300000 3.661986 1.984530 0.003746
13.400000 3.676986 1.984586 0.003746
13.500000 3.691986 1.984642 0.003746
13.600000 3.706986 1.984698 0.003746
13.700000 3.721985 1.984754 0.003746
13.800000 3.736985 1.984811 0.003746
13.900000 3.751985 1.984867 0.003746
14.000000 3.766985 1.984923 0.003746
14.100000 3.781985 1.984979 0.003746
14.200000 3.796985 1.985035 0.003746
14.300000 3.811985 1.985092 0.003746
14.400000 3.826985 1.985148 0.003746
14.500000 3.841985 1.985204 0.003746
14.600000 3.856985 1.985260 0.003746
14.700000 3.871984 1.985316 0.003746
14.800000 3.886984 1.985373 0.003746
14.900000 3.901984 1.985429 0.003746
15.000000 3.916984 1.985485 0.003746
15.100000 3.931984 1.985541 0.003746
