contdir;contesq;veldir;velesq;disdir;diseq;tmp
0;0;0;0;0;0;0
20;20;4.09;4.09;0.41;0.41;131
25;26;5.11;5.32;0.51;0.53;242
27;26;5.52;5.32;0.55;0.53;353
27;27;5.52;5.52;0.55;0.55;464
35;31;7.16;6.34;0.72;0.63;597
28;27;5.73;5.52;0.57;0.55;706
26;28;5.32;5.73;0.53;0.57;815
29;28;5.93;5.73;0.59;0.57;924
26;27;5.32;5.52;0.53;0.55;1033
31;29;6.34;5.93;0.63;0.59;1144
27;27;5.52;5.52;0.55;0.55;1253
26;28;5.32;5.73;0.53;0.57;1362
28;27;5.73;5.52;0.57;0.55;1471
26;28;5.32;5.73;0.53;0.57;1580
20;37;4.09;7.57;0.41;0.76;1691
23;33;4.71;6.75;0.47;0.68;1800
26;28;5.32;5.73;0.53;0.57;1909
21;34;4.3;6.96;0.43;0.7;2018
18;37;3.68;7.57;0.37;0.76;2130
25;29;5.11;5.93;0.51;0.59;2239
28;28;5.73;5.73;0.57;0.57;2348
27;28;5.52;5.73;0.55;0.57;2457
27;27;5.52;5.52;0.55;0.55;2566
24;30;4.91;6.14;0.49;0.61;2675
18;35;3.68;7.16;0.37;0.72;2784
26;28;5.32;5.73;0.53;0.57;2893
28;27;5.73;5.52;0.57;0.55;3002
27;27;5.52;5.52;0.55;0.55;3111
28;27;5.73;5.52;0.57;0.55;3222
28;26;5.73;5.32;0.57;0.53;3331
30;29;6.14;5.93;0.61;0.59;3442
27;27;5.52;5.52;0.55;0.55;3551
28;30;5.73;6.14;0.57;0.61;3668
28;28;5.73;5.73;0.57;0.57;3777
30;28;6.14;5.73;0.61;0.57;3886
29;28;5.93;5.73;0.59;0.57;3995
28;28;5.73;5.73;0.57;0.57;4104
24;39;4.91;7.98;0.49;0.8;4222
23;40;4.71;8.18;0.47;0.82;4331
57;6;11.66;1.23;1.17;0.12;4440
45;6;9.21;1.23;0.92;0.12;4549
28;27;5.73;5.52;0.57;0.55;4658
27;29;5.52;5.93;0.55;0.59;4767
26;27;5.32;5.52;0.53;0.55;4876
27;26;5.52;5.32;0.55;0.53;4985
29;27;5.93;5.52;0.59;0.55;5096
28;27;5.73;5.52;0.57;0.55;5205
29;28;5.93;5.73;0.59;0.57;5323
27;26;5.52;5.32;0.55;0.53;5432
29;26;5.93;5.32;0.59;0.53;5541
28;27;5.73;5.52;0.57;0.55;5650
28;26;5.73;5.32;0.57;0.53;5759
28;26;5.73;5.32;0.57;0.53;5868
28;27;5.73;5.52;0.57;0.55;5977
28;28;5.73;5.73;0.57;0.57;6086
28;26;5.73;5.32;0.57;0.53;6195
29;28;5.93;5.73;0.59;0.57;6307
28;26;5.73;5.32;0.57;0.53;6416
29;27;5.93;5.52;0.59;0.55;6525
28;27;5.73;5.52;0.57;0.55;6634
27;26;5.52;5.32;0.55;0.53;6743
30;27;6.14;5.52;0.61;0.55;6854
28;27;5.73;5.52;0.57;0.55;6963
29;26;5.93;5.32;0.59;0.53;7072
28;27;5.73;5.52;0.57;0.55;7181
30;27;6.14;5.52;0.61;0.55;7290
28;27;5.73;5.52;0.57;0.55;7401
28;26;5.73;5.32;0.57;0.53;7510
28;27;5.73;5.52;0.57;0.55;7619
28;27;5.73;5.52;0.57;0.55;7728
28;27;5.73;5.52;0.57;0.55;7837
29;26;5.93;5.32;0.59;0.53;7946
29;26;5.93;5.32;0.59;0.53;8055
28;27;5.73;5.52;0.57;0.55;8164
30;28;6.14;5.73;0.61;0.57;8280
28;28;5.73;5.73;0.57;0.57;8392
29;27;5.93;5.52;0.59;0.55;8503
28;27;5.73;5.52;0.57;0.55;8612
28;27;5.73;5.52;0.57;0.55;8721
28;26;5.73;5.32;0.57;0.53;8830
28;27;5.73;5.52;0.57;0.55;8939
27;25;5.52;5.11;0.55;0.51;9048
27;26;5.52;5.32;0.55;0.53;9157
28;27;5.73;5.52;0.57;0.55;9266
27;26;5.52;5.32;0.55;0.53;9375
28;27;5.73;5.52;0.57;0.55;9486
28;26;5.73;5.32;0.57;0.53;9595
31;26;6.34;5.32;0.63;0.53;9704
28;26;5.73;5.32;0.57;0.53;9813
28;26;5.73;5.32;0.57;0.53;9922
28;27;5.73;5.52;0.57;0.55;10031
