timestamp_s x y theta
0.000000 1.000000 3.000000 1.336450
0.100000 1.000600 3.002514 1.336450
0.200000 1.001200 3.005027 1.336450
0.300000 1.001800 3.007541 1.336449
0.400000 1.002400 3.010054 1.336447
0.500000 1.003000 3.012568 1.336446
0.600000 1.003600 3.015081 1.336444
0.700000 1.004200 3.017594 1.336441
0.800000 1.004800 3.020108 1.336439
0.900000 1.005401 3.022621 1.336436
1.000000 1.006001 3.025135 1.336432
1.100000 1.006601 3.027648 1.336429
1.200000 1.007201 3.030161 1.336425
1.300000 1.007801 3.032674 1.336420
1.400000 1.008401 3.035188 1.336415
1.500000 1.009001 3.037701 1.336410
1.600000 1.009601 3.040214 1.336405
1.700000 1.010201 3.042727 1.336399
1.800000 1.010801 3.045240 1.336392
1.900000 1.011401 3.047752 1.336386
2.000000 1.012001 3.050265 1.336379
2.100000 1.012601 3.052778 1.336372
2.200000 1.013201 3.055291 1.336364
2.300000 1.013801 3.057803 1.336356
2.400000 1.014401 3.060315 1.336347
2.500000 1.015002 3.062828 1.336339
2.600000 1.015602 3.065340 1.336330
2.700000 1.016202 3.067852 1.336320
2.800000 1.016802 3.070364 1.336310
2.900000 1.017402 3.072876 1.336300
3.000000 1.018002 3.075388 1.336290
3.100000 1.018602 3.077900 1.336279
3.200000 1.019202 3.080411 1.336267
3.300000 1.019802 3.082923 1.336256
3.400000 1.020402 3.085434 1.336244
3.500000 1.021002 3.087945 1.336232
3.600000 1.021602 3.090456 1.336219
3.700000 1.022202 3.092967 1.336206
3.800000 1.022802 3.095478 1.336192
3.900000 1.023402 3.097988 1.336179
4.000000 1.024002 3.100499 1.336165
4.100000 1.024602 3.103009 1.336150
4.200000 1.025203 3.105519 1.336135
4.300000 1.025803 3.108029 1.336120
4.400000 1.026403 3.110539 1.336105
4.500000 1.027003 3.113048 1.336089
4.600000 1.027603 3.115558 1.336072
4.700000 1.028203 3.118067 1.336056
4.800000 1.028803 3.120576 1.336039
4.900000 1.029403 3.123085 1.336021
5.000000 1.030003 3.125594 1.336004
5.100000 1.030603 3.128102 1.335986
5.200000 1.031203 3.130610 1.335967
5.300000 1.031803 3.133118 1.335948
5.400000 1.032403 3.135626 1.335929
5.500000 1.033003 3.138134 1.335910
5.600000 1.033603 3.140641 1.335890
5.700000 1.034203 3.143148 1.335870
5.800000 1.034803 3.145655 1.335849
5.900000 1.035404 3.148162 1.335828
6.000000 1.036004 3.150669 1.335807
6.100000 1.036604 3.153175 1.335785
6.200000 1.037204 3.155681 1.335763
6.300000 1.037804 3.158187 1.335741
6.400000 1.038404 3.160692 1.335718
6.500000 1.039004 3.163198 1.335695
6.600000 1.039604 3.165703 1.335671
6.700000 1.040204 3.168207 1.335647
6.800000 1.040804 3.170712 1.335623
6.900000 1.041404 3.173216 1.335599
7.000000 1.042004 3.175720 1.335574
7.100000 1.042604 3.178224 1.335548
7.200000 1.043204 3.180727 1.335523
7.300000 1.043804 3.183230 1.335497
7.400000 1.044404 3.185733 1.335470
7.500000 1.045005 3.188235 1.335443
7.600000 1.045605 3.190738 1.335416
7.700000 1.046205 3.193240 1.335389
7.800000 1.046805 3.195741 1.335361
7.900000 1.047405 3.198242 1.335333
8.000000 1.048005 3.200743 1.335304
8.100000 1.048605 3.203244 1.335275
8.200000 1.049205 3.205744 1.335246
8.300000 1.049805 3.208244 1.335216
8.400000 1.050405 3.210744 1.335186
8.500000 1.051005 3.213244 1.335156
8.600000 1.051605 3.215743 1.335125
8.700000 1.052205 3.218241 1.335094
8.800000 1.052805 3.220740 1.335062
8.900000 1.053405 3.223238 1.335030
9.000000 1.054005 3.225735 1.334998
9.100000 1.054605 3.228233 1.334966
9.200000 1.055206 3.230729 1.334933
9.300000 1.055806 3.233226 1.334899
9.400000 1.056406 3.235722 1.334866
9.500000 1.057006 3.238218 1.334831
9.600000 1.057606 3.240713 1.334797
9.700000 1.058206 3.243209 1.334762
9.800000 1.058806 3.245703 1.334727
9.900000 1.059406 3.248198 1.334691
10.000000 1.060006 3.250691 1.334656
10.100000 1.060606 3.253185 1.334619
10.200000 1.061206 3.255678 1.334583
10.300000 1.061806 3.258171 1.334546
10.400000 1.062406 3.260663 1.334508
10.500000 1.063006 3.263155 1.334470
10.600000 1.063606 3.265646 1.334432
10.700000 1.064206 3.268137 1.334394
10.800000 1.064806 3.270628 1.334355
10.900000 1.065407 3.273118 1.334315
11.000000 1.066007 3.275608 1.334276
11.100000 1.066607 3.278097 1.334236
11.200000 1.067207 3.280586 1.334195
11.300000 1.067807 3.283075 1.334155
11.400000 1.068407 3.285563 1.334113
11.500000 1.069007 3.288050 1.334072
11.600000 1.069607 3.290537 1.334030
11.700000 1.070207 3.293024 1.333988
11.800000 1.070807 3.295510 1.333945
11.900000 1.071407 3.297996 1.333902
12.000000 1.072007 3.300481 1.333859
12.100000 1.072607 3.302966 1.333815
12.200000 1.073207 3.305450 1.333771
12.300000 1.073807 3.307934 1.333726
12.400000 1.074407 3.310417 1.333681
12.500000 1.075008 3.312900 1.333636
12.600000 1.075608 3.315382 1.333591
12.700000 1.076208 3.317864 1.333545
12.800000 1.076808 3.320345 1.333498
12.900000 1.077408 3.322826 1.333451
13.000000 1.078008 3.325307 1.333404
13.100000 1.078608 3.327786 1.333357
13.200000 1.079208 3.330266 1.333309
13.300000 1.079808 3.332744 1.333260
13.400000 1.080408 3.335223 1.333212
13.500000 1.081008 3.337700 1.333163
13.600000 1.081608 3.340178 1.333113
13.700000 1.082208 3.342654 1.333063
13.800000 1.082808 3.345130 1.333013
13.900000 1.083408 3.347606 1.332963
14.000000 1.084008 3.350081 1.332912
14.100000 1.084608 3.352555 1.332860
14.200000 1.085209 3.355029 1.332808
14.300000 1.085809 3.357502 1.332756
14.400000 1.086409 3.359975 1.332704
14.500000 1.087009 3.362447 1.332651
14.600000 1.087609 3.364919 1.332598
14.700000 1.088209 3.367390 1.332544
14.800000 1.088809 3.369860 1.332490
14.900000 1.089409 3.372330 1.332435
15.000000 1.090009 3.374800 1.332381
15.100000 1.090609 3.377268 1.332325
15.200000 1.091209 3.379736 1.332270
15.300000 1.091809 3.382204 1.332214
15.400000 1.092409 3.384671 1.332157
15.500000 1.093009 3.387137 1.332101
15.600000 1.093609 3.389603 1.332044
15.700000 1.094209 3.392068 1.331986
15.800000 1.094809 3.394532 1.331928
15.900000 1.095410 3.396996 1.331870
16.000000 1.096010 3.399459 1.331811
16.100000 1.096610 3.401922 1.331752
16.200000 1.097210 3.404384 1.331692
16.300000 1.097810 3.406845 1.331632
16.400000 1.098410 3.409306 1.331572
16.500000 1.099010 3.411766 1.331511
16.600000 1.099610 3.414225 1.331450
16.700000 1.100210 3.416684 1.331389
16.800000 1.100810 3.419142 1.331327
16.900000 1.101410 3.421599 1.331265
17.000000 1.102010 3.424056 1.331202
17.100000 1.102610 3.426512 1.331139
17.200000 1.103210 3.428967 1.331076
17.300000 1.103810 3.431422 1.331012
17.400000 1.104410 3.433876 1.330948
17.500000 1.105011 3.436329 1.330883
17.600000 1.105611 3.438782 1.330818
17.700000 1.106211 3.441234 1.330752
17.800000 1.106811 3.443685 1.330687
17.900000 1.107411 3.446136 1.330620
18.000000 1.108011 3.448586 1.330554
18.100000 1.108611 3.451035 1.330487
18.200000 1.109211 3.453483 1.330419
18.300000 1.109811 3.455931 1.330351
18.400000 1.110411 3.458378 1.330283
18.500000 1.111011 3.460824 1.330214
18.600000 1.111611 3.463270 1.330145
18.700000 1.112211 3.465714 1.330076
18.800000 1.112811 3.468158 1.330006
18.900000 1.113411 3.470602 1.329936
19.000000 1.114011 3.473044 1.329865
19.100000 1.114611 3.475486 1.329794
19.200000 1.115212 3.477927 1.329722
19.300000 1.115812 3.480368 1.329651
19.400000 1.116412 3.482807 1.329578
19.500000 1.117012 3.485246 1.329505
19.600000 1.117612 3.487684 1.329432
19.700000 1.118212 3.490121 1.329359
19.800000 1.118812 3.492558 1.329285
19.900000 1.119412 3.494994 1.329210
20.000000 1.120012 3.497428 1.329136
20.100000 1.120612 3.499863 1.329061
20.200000 1.121212 3.502296 1.328985
20.300000 1.121812 3.504729 1.328909
20.400000 1.122412 3.507160 1.328832
20.500000 1.123012 3.509591 1.328756
20.600000 1.123612 3.512021 1.328678
20.700000 1.124212 3.514451 1.328601
20.800000 1.124812 3.516879 1.328523
20.900000 1.125413 3.519307 1.328444
21.000000 1.126013 3.521734 1.328365
21.100000 1.126613 3.524160 1.328286
21.200000 1.127213 3.526585 1.328206
21.300000 1.127813 3.529010 1.328126
21.400000 1.128413 3.531433 1.328045
21.500000 1.129013 3.533856 1.327964
21.600000 1.129613 3.536278 1.327883
21.700000 1.130213 3.538699 1.327801
21.800000 1.130813 3.541119 1.327718
21.900000 1.131413 3.543539 1.327636
22.000000 1.132013 3.545957 1.327553
22.100000 1.132613 3.548375 1.327469
22.200000 1.133213 3.550791 1.327385
22.300000 1.133813 3.553207 1.327301
22.400000 1.134413 3.555622 1.327216
22.500000 1.135014 3.558037 1.327130
