timestamp,left_ticks,right_ticks
0.0,0,0
0.1,8,8
0.2,17,14
0.3,24,23
0.4,31,31
0.5,41,41
0.6,48,49
0.7,54,56
0.8,63,64
0.9,74,72
1.0,81,80
1.1,89,87
1.2,97,96
1.3,102,110
1.4,114,118
1.5,128,126
1.6,139,131
1.7,148,140
1.8,152,151
1.9,157,157
2.0,166,168
2.1,173,172
2.2,182,178
2.3,191,185
2.4,200,190
2.5,210,201
2.6,212,208
2.7,222,217
2.8,235,225
2.9,244,235
3.0,251,243
3.1,259,252
3.2,267,259
3.3,281,267
3.4,290,271
3.5,296,282
3.6,304,287
3.7,316,297
3.8,323,308
3.9,326,319
4.0,336,331
4.1,343,336
4.2,353,345
4.3,363,353
4.4,372,363
4.5,377,370
4.6,385,378
4.7,392,386
4.8,397,391
4.9,408,401
5.0,412,412
5.1,423,419
5.2,431,432
5.3,441,441
5.4,448,450
5.5,455,455
5.6,463,466
5.7,470,472
5.8,481,481
5.9,490,493
6.0,499,503
6.1,509,510
6.2,516,521
6.3,523,526
6.4,532,532
6.5,538,541
6.6,543,549
6.7,551,556
6.8,556,567
6.9,568,576
7.0,575,582
7.1,581,591
7.2,589,596
7.3,597,605
7.4,602,618
7.5,609,623
7.6,618,631
7.7,625,638
7.8,632,647
7.9,637,660
8.0,644,663
8.1,654,672
8.2,662,679
8.3,671,688
8.4,680,694
8.5,688,702
8.6,699,712
8.7,708,718
8.8,716,727
8.9,725,736
9.0,734,747
9.1,738,761
9.2,745,774
9.3,756,784
9.4,761,791
9.5,767,801
9.6,775,808
9.7,780,815
9.8,788,822
9.9,796,830
10.0,801,834
10.1,806,846
10.2,814,854
10.3,821,862
10.4,827,874
10.5,837,884
10.6,846,893
10.7,855,901
10.8,866,915
10.9,874,925
11.0,885,935
11.1,895,944
11.2,904,956
11.3,914,967
11.4,923,983
11.5,937,991
11.6,948,997
11.7,959,1004
11.8,969,1016
11.9,977,1024
12.0,987,1036
12.1,996,1041
12.2,1006,1051
12.3,1015,1066
12.4,1024,1077
12.5,1031,1082
12.6,1036,1089
12.7,1048,1093
12.8,1057,1102
12.9,1070,1107
13.0,1076,1117
13.1,1083,1123
13.2,1093,1132
13.3,1100,1143
13.4,1110,1155
13.5,1121,1163
13.6,1126,1170
13.7,1135,1175
13.8,1139,1183
13.9,1153,1192
14.0,1164,1198
14.1,1173,1209
14.2,1184,1218
14.3,1193,1229
14.4,1201,1238
14.5,1210,1244
14.6,1218,1252
14.7,1222,1258
14.8,1231,1264
14.9,1242,1275
15.0,1249,1285
15.1,1258,1296
15.2,1265,1302
15.3,1271,1307
15.4,1280,1312
15.5,1291,1320
15.6,1295,1327
15.7,1307,1334
15.8,1316,1341
15.9,1321,1351
16.0,1329,1354
16.1,1337,1364
16.2,1343,1373
16.3,1353,1382
16.4,1358,1387
16.5,1367,1399
16.6,1375,1406
16.7,1385,1414
16.8,1391,1417
16.9,1397,1426
17.0,1404,1432
17.1,1414,1440
17.2,1420,1446
17.3,1427,1456
17.4,1438,1467
17.5,1443,1478
17.6,1446,1484
17.7,1454,1491
17.8,1462,1499
17.9,1470,1505
18.0,1480,1513
18.1,1485,1521
18.2,1495,1526
18.3,1505,1532
18.4,1514,1541
18.5,1526,1550
18.6,1532,1554
18.7,1540,1561
18.8,1551,1570
18.9,1561,1578
19.0,1566,1584
19.1,1569,1588
19.2,1579,1596
19.3,1587,1604
19.4,1597,1614
19.5,1604,1621
19.6,1615,1631
19.7,1622,1636
19.8,1631,1645
19.9,1638,1658
20.0,1647,1666
20.1,1660,1672
20.2,1668,1678
20.3,1681,1685
20.4,1689,1693
20.5,1695,1703
20.6,1709,1712
20.7,1716,1717
20.8,1723,1725
20.9,1731,1729
21.0,1744,1738
21.1,1748,1751
21.2,1755,1760
21.3,1764,1770
21.4,1773,1779
21.5,1778,1787
21.6,1785,1794
21.7,1794,1802
21.8,1803,1809
21.9,1810,1814
22.0,1813,1818
22.1,1821,1830
22.2,1827,1838
22.3,1834,1847
22.4,1847,1858
22.5,1854,1865
22.6,1862,1871
22.7,1868,1876
22.8,1877,1881
22.9,1889,1888
23.0,1896,1896
23.1,1904,1905
23.2,1907,1912
23.3,1915,1916
23.4,1921,1925
23.5,1930,1929
23.6,1936,1934
23.7,1945,1939
23.8,1953,1949
23.9,1960,1959
24.0,1971,1964
24.1,1977,1970
24.2,1984,1978
24.3,1989,1986
24.4,1995,1996
24.5,2009,2004
24.6,2022,2015
24.7,2031,2018
