timestamp,left_ticks,right_ticks
0.0,0,0
0.1,318,318
0.2,636,636
0.3,954,954
0.4,1272,1272
0.5,1590,1590
0.6,1908,1908
0.7,2226,2226
0.8,2544,2544
0.9,2862,2862
1.0,3180,3180
1.1,3100,3260
1.2,3020,3340
1.3,2940,3420
1.4,2860,3500
1.5,2780,3580
1.6,3098,3898
1.7,3416,4216
1.8,3734,4534
1.9,4052,4852
2.0,4370,5170
2.1,4688,5488
2.2,5006,5806
2.3,5324,6124
2.4,5642,6442
2.5,5960,6760
2.6,5880,6840
2.7,5800,6920
2.8,5720,7000
2.9,5640,7080
3.0,5560,7160
3.1,5878,7478
3.2,6196,7796
3.3,6514,8114
3.4,6832,8432
3.5,7150,8750
3.6,7468,9068
3.7,7786,9386
3.8,8104,9704
3.9,8422,10022
4.0,8740,10340
4.1,8660,10420
4.2,8580,10500
4.3,8500,10580
4.4,8420,10660
4.5,8340,10740
4.6,8658,11058
4.7,8976,11376
4.8,9294,11694
4.9,9612,12012
5.0,9930,12330
5.1,10248,12648
5.2,10566,12966
5.3,10884,13284
5.4,11202,13602
5.5,11520,13920
5.6,11440,14000
5.7,11360,14080
5.8,11280,14160
5.9,11200,14240
6.0,11120,14320
