timestamp left_ticks right_ticks
0.0 0 0
0.02 64 64
0.04 128 128
0.06 192 192
0.08 256 256
0.1 320 320
0.12 384 384
0.14 448 448
0.16 512 512
0.18 576 576
0.2 640 640
0.22 704 704
0.24 768 768
0.26 832 832
0.28 896 896
0.3 960 960
0.32 1024 1024
0.34 1088 1088
0.36 1152 1152
0.38 1216 1216
0.4 1280 1280
0.42 1344 1344
0.44 1408 1408
0.46 1472 1472
0.48 1536 1536
0.5 1600 1600
0.52 1664 1664
0.54 1728 1728
0.56 1792 1792
0.58 1856 1856
0.6 1920 1920
0.62 1984 1984
0.64 2048 2048
0.66 2112 2112
0.68 2176 2176
0.7 2240 2240
0.72 2304 2304
0.74 2368 2368
0.76 2432 2432
0.78 2496 2496
0.8 2560 2560
0.82 2624 2624
0.84 2688 2688
0.86 2752 2752
0.88 2816 2816
0.9 2880 2880
0.92 2944 2944
0.94 3008 3008
0.96 3072 3072
0.98 3136 3136
1.0 3200 3200
1.02 3264 3264
1.04 3328 3328
1.06 3392 3392
1.08 3456 3456
1.1 3520 3520
1.12 3584 3584
1.14 3648 3648
1.16 3712 3712
1.18 3776 3776
1.2 3840 3840
1.22 3904 3904
1.24 3968 3968
1.26 4032 4032
1.28 4096 4096
1.3 4160 4160
1.32 4224 4224
1.34 4288 4288
1.36 4352 4352
1.38 4416 4416
1.4 4480 4480
1.42 4544 4544
1.44 4608 4608
1.46 4672 4672
1.48 4736 4736
1.5 4800 4800
1.52 4864 4864
1.54 4928 4928
1.56 4992 4992
1.58 5056 5056
1.6 5120 5120
1.62 5184 5184
1.64 5248 5248
1.66 5312 5312
1.68 5376 5376
1.7 5440 5440
1.72 5504 5504
1.74 5568 5568
1.76 5632 5632
1.78 5696 5696
1.8 5760 5760
1.82 5824 5824
1.84 5888 5888
1.86 5952 5952
1.88 6016 6016
1.9 6080 6080
1.92 6144 6144
1.94 6208 6208
1.96 6272 6272
1.98 6336 6336
2.0 6400 6400
2.02 6464 6464
2.04 6528 6528
2.06 6592 6592
2.08 6656 6656
2.1 6720 6720
2.12 6784 6784
2.14 6848 6848
2.16 6912 6912
2.18 6976 6976
2.2 7040 7040
2.22 7104 7104
2.24 7168 7168
2.26 7232 7232
2.28 7296 7296
2.3 7360 7360
2.32 7424 7424
2.34 7488 7488
2.36 7552 7552
2.38 7616 7616
2.4 7680 7680
2.42 7744 7744
2.44 7808 7808
2.46 7872 7872
2.48 7936 7936
2.5 8000 8000
2.52 8064 8064
2.54 8128 8128
2.56 8192 8192
2.58 8256 8256
2.6 8320 8320
2.62 8384 8384
2.64 8448 8448
2.66 8512 8512
2.68 8576 8576
2.7 8640 8640
2.72 8704 8704
2.74 8768 8768
2.76 8832 8832
2.78 8896 8896
2.8 8960 8960
2.82 9024 9024
2.84 9088 9088
2.86 9152 9152
2.88 9216 9216
2.9 9280 9280
2.92 9344 9344
2.94 9408 9408
2.96 9472 9472
2.98 9536 9536
3.0 9600 9600
3.02 9664 9664
3.04 9728 9728
3.06 9792 9792
3.08 9856 9856
3.1 9920 9920
3.12 9984 9984
3.14 10048 10048
3.16 10112 10112
3.18 10176 10176
3.2 10240 10240
3.22 10304 10304
3.24 10368 10368
3.26 10432 10432
