timestamp,Da3_t1,Da3_t2,Da6_t1,Da6_t2,Da7_t1,Da7_t2,Da8_t1,Da8_t2,Da9_t1,Da9_t2
0,5.2094,5.519,1.4446,1.0381,8.3957,8.4614,6.6916,7.0199,3.4427,3.7398
262,5.2376,5.5377,1.2852,1.0194,8.352,8.4114,6.6791,7.2294,3.499,3.7273
524,5.2595,5.5002,1.3227,1.0319,8.3488,8.3582,6.6759,7.0824,3.4771,3.7116
786,5.1907,5.4877,1.3196,1.0037,8.3207,8.402,6.6759,7.1731,3.4865,3.7492
1048,5.0906,5.5252,1.2977,0.9912,8.3238,8.4364,6.6541,7.0981,3.4865,3.771
1310,5.1531,5.4815,1.2633,0.9912,8.352,8.452,6.6884,7.0324,3.4646,3.7335
1572,5.1469,5.5503,1.3508,0.9881,8.352,8.4895,6.6916,7.0355,3.4834,3.7617
1834,5.2188,5.4846,1.3196,1.0444,8.3457,8.4364,6.7228,6.6134,3.5178,3.746
2096,5.1875,5.5628,1.3977,1.0069,8.3926,8.4645,6.6884,6.504,3.5115,3.7241
2358,5.1281,5.5565,1.4196,1.0194,8.3488,8.3989,6.6853,6.8323,3.4709,3.7054
2620,5.15,5.4439,1.4446,0.9693,8.3989,8.4395,6.6509,6.7041,3.4677,3.7273
2882,5.1313,5.4377,1.3758,1.1757,8.3426,8.4208,6.6728,6.5415,3.4177,3.721
3144,5.0843,5.4408,1.4603,1.1601,8.3395,8.4208,6.6697,6.8167,3.3896,3.6585
3406,5.0468,5.4002,1.3258,1.085,8.3676,8.3957,6.6728,6.6791,3.3864,3.6428
3668,5.0593,5.4095,1.3321,1.0725,8.3645,8.4364,6.6759,6.629,3.4333,3.6647
3930,4.9905,5.4283,1.4009,1.1101,8.3395,8.4208,6.7072,6.6165,3.4677,3.6116
4192,5.0343,5.347,1.379,1.0913,8.3332,8.4208,6.6853,6.6384,3.4615,3.6397
4454,4.953,5.322,1.3977,1.0944,8.3395,8.4082,6.7197,6.6134,3.4677,3.6272
4716,4.9655,5.347,1.4478,1.1226,8.3551,8.4301,6.6509,6.6322,3.449,3.6554
4978,4.9968,5.3064,1.4071,1.085,8.3363,8.3989,6.6603,6.6415,3.4646,3.6053
5240,4.9499,5.3032,1.3821,1.1288,8.3488,8.4051,6.701,6.6259,3.4365,3.6428
5502,4.9374,5.3001,1.4165,1.1757,8.3395,8.402,6.6916,6.5821,3.4427,3.6804
5764,4.8811,5.2501,1.4478,1.1507,8.3426,8.3895,6.6697,6.5946,3.4365,3.6366
6026,4.8874,5.2532,1.454,1.2039,8.352,8.3676,6.6759,6.6415,3.3958,3.6116
6288,4.9374,5.2595,1.4446,1.2132,8.3207,8.3613,6.7354,6.6509,3.4177,3.5709
6550,4.9217,5.2251,1.454,1.1882,8.3051,8.3613,6.7354,6.6978,3.3739,3.5866
6812,4.8905,5.2282,1.4665,1.1288,8.3051,8.3645,6.7322,6.7041,3.4208,3.549
7074,4.8905,5.2188,1.4759,1.1538,8.2863,8.3613,6.7135,6.701,3.4052,3.5615
7336,4.8874,5.2251,1.4603,1.1601,8.3082,8.3363,6.6791,6.6759,3.3958,3.5647
7598,4.8592,5.2595,1.4822,1.2101,8.255,8.3395,6.7103,6.6884,3.3552,3.5678
7860,4.8655,5.2219,1.4822,1.1288,8.2707,8.3363,6.7041,6.7135,3.3739,3.5584
8122,4.8655,5.2251,1.504,1.2195,8.255,8.3051,6.7072,6.6947,3.3802,3.5303
8384,4.8623,5.2188,1.5322,1.2601,8.23,8.3019,6.7135,6.6853,3.3771,3.549
8646,4.8467,5.2032,1.5134,1.2727,8.2363,8.3082,6.7479,6.6541,3.3645,3.5522
8908,4.8404,5.2,1.5259,1.232,8.2019,8.2832,6.7447,6.6634,3.327,3.5365
9170,4.8467,5.1969,1.5322,1.257,8.1894,8.2769,6.7385,6.6634,3.352,3.5428
9432,4.8592,5.15,1.5353,1.2289,8.1956,8.2707,6.7354,6.6447,3.327,3.524
9694,4.8311,5.1438,1.5416,1.2414,8.1862,8.2644,6.7666,6.629,3.3208,3.5209
9956,4.7998,5.1406,1.5541,1.3008,8.1706,8.2519,6.7447,6.6541,3.3208,3.4865
10218,4.7842,5.1469,1.5697,1.2883,8.1831,8.2456,6.7291,6.701,3.3333,3.5178
10480,4.7842,5.1313,1.5853,1.2789,8.1425,8.2019,6.7729,6.701,3.3051,3.4646
10742,4.7748,5.1187,1.576,1.3102,8.1518,8.205,6.7447,6.7228,3.2926,3.4896
11004,4.756,5.1438,1.5916,1.2664,8.1237,8.2081,6.7447,6.7135,3.2832,3.4896
11266,4.7654,5.1094,1.5978,1.2914,8.0987,8.2144,6.7354,6.7166,3.2645,3.4865
11528,4.7466,5.1313,1.5885,1.2852,8.1143,8.205,6.7072,6.7135,3.2707,3.4802
11790,4.7216,5.1125,1.6166,1.3321,8.1081,8.2175,6.7197,6.6791,3.2895,3.4802
12052,4.7091,5.075,1.651,1.2633,8.1206,8.1894,6.726,6.6853,3.2582,3.4709
12314,4.6997,5.0625,1.6729,1.3633,8.0799,8.155,6.7541,6.6697,3.2457,3.4365
12576,4.6904,5.003,1.6635,1.3758,8.0612,8.1737,6.7166,6.6791,3.2426,3.4396
12838,4.6653,4.978,1.6729,1.3414,8.0987,8.1737,6.7635,6.6978,3.2395,3.4396
13100,4.6653,4.9499,1.6604,1.404,8.0799,8.1675,6.7541,6.7103,3.2582,3.4302
13362,4.6435,4.9812,1.6729,1.4009,8.0674,8.1612,6.7385,6.726,3.2363,3.3583
13624,4.6435,5.0187,1.651,1.3633,8.0987,8.155,6.7322,6.7291,3.227,3.3739
13886,4.5934,4.978,1.7042,1.3946,8.0862,8.1612,6.7416,6.726,3.2457,3.3645
14148,4.6153,4.9874,1.7261,1.3571,8.058,8.1612,6.7666,6.7103,3.2301,3.3176
14410,4.5778,4.9561,1.7542,1.3883,8.0924,8.1581,6.7447,6.7135,3.252,3.327
14672,4.5965,4.9311,1.7104,1.3602,8.0893,8.1581,6.7385,6.6884,3.2301,3.3176
14934,4.5622,4.8342,1.7167,1.404,8.0737,8.1612,6.7385,6.6978,3.2363,3.3302
15196,4.5653,4.7935,1.7354,1.4352,8.058,8.1487,6.7385,6.6603,3.2426,3.3333
