timestamp,Da3_t1,Da3_t2,Da6_t1,Da6_t2,Da7_t1,Da7_t2,Da8_t1,Da8_t2,Da9_t1,Da9_t2
89,1.6791,1.5291,0.7161,1.0100,1.6166,1.2383,2.3295,2.0731,1.0350,0.9037
350,1.6479,2.3264,0.7317,0.9850,1.6510,1.2977,2.3327,2.1169,1.1914,0.8693
611,1.7198,2.3358,0.7098,0.9818,1.8386,1.2445,2.3108,2.0669,1.1163,0.9037
872,1.6229,1.4759,0.6879,1.0194,1.5572,1.2852,2.3483,2.0356,1.2070,0.8974
1133,1.8292,1.8543,0.7286,1.0506,1.6510,1.2633,2.2733,2.0231,1.2383,0.8849
1394,1.7636,1.7229,0.7286,1.0569,1.6229,1.2789,2.2983,2.0387,1.1226,0.8943
1655,1.6760,1.7886,0.7630,1.0631,1.6573,1.2539,2.2639,1.9731,1.1226,0.8693
1916,1.6197,1.7448,0.7723,1.0882,1.6354,1.2195,2.2733,1.9793,1.0975,0.8755
2177,1.4603,1.6854,0.7692,1.0819,1.6135,1.2007,2.2201,1.9606,1.1069,0.8286
2438,1.5291,1.4634,0.7911,1.0663,1.5916,1.2570,2.2170,1.9293,1.0944,0.8380
2699,1.5791,1.8105,0.8130,1.1163,1.6135,1.2195,2.2733,1.9762,1.0913,0.8474
2960,1.5978,1.6791,0.8099,1.1069,1.6166,1.1914,2.2357,1.9856,1.1132,0.8505
3221,1.5885,1.7010,0.8224,1.1601,1.5916,1.1444,2.1982,1.9731,1.0600,0.8349
3482,1.6010,1.6635,0.8536,1.1570,1.5885,1.1382,2.2701,1.9856,1.0475,0.8130
3743,1.9230,1.6791,0.8849,1.1788,1.5603,1.1413,2.2138,1.9574,1.0256,0.8411
4004,1.6448,1.6604,0.8880,1.1851,1.5697,1.0788,2.2170,1.9012,1.0256,0.7911
4265,1.6666,1.6823,0.9037,1.2101,1.5572,1.0569,2.1795,1.9793,1.0350,0.8067
4526,1.6698,1.7073,0.8880,1.2445,1.4790,1.0381,2.1795,1.8949,1.0225,0.8099
4787,1.6698,1.7761,0.9256,1.2633,1.4915,1.0631,2.1544,1.8574,1.0037,0.8286
5048,1.6229,1.7636,0.8849,1.2633,1.4696,1.0694,2.1451,1.8887,1.0069,0.8318
5309,1.6322,1.7229,0.9318,1.2883,1.4571,1.0256,2.1169,1.8636,0.9475,0.8411
5570,1.6541,1.7479,0.9256,1.3196,1.3852,1.0788,2.1294,1.8855,0.9662,0.8349
5831,1.6573,1.7386,0.9756,1.3133,1.4259,1.0631,2.1513,1.8511,0.9600,0.8474
6092,1.6698,1.7636,0.9912,1.3289,1.4040,0.9787,2.1357,1.8449,0.9193,0.8161
