timestamp,anchor_id,range_front,sigma_front,range_rear,sigma_rear
0.0,0,3.475338,0.02,2.848564,0.02
0.0,1,4.430956,0.02,4.077283,0.02
0.0,2,7.713813,0.02,7.5326,0.02
0.0,3,1.117737,0.02,0.966126,0.02
0.0,4,6.879442,0.02,7.058759,0.02
0.0,5,2.894447,0.02,3.444208,0.02
0.0,6,3.999033,0.02,4.519201,0.02
0.0,7,7.424961,0.02,7.815148,0.02
0.1,0,3.501777,0.02,2.851548,0.02
0.1,1,4.445117,0.02,4.029196,0.02
0.1,2,7.661231,0.02,7.558743,0.02
0.1,3,1.141942,0.02,0.978852,0.02
0.1,4,6.906429,0.02,7.084591,0.02
0.1,5,2.903198,0.02,3.498867,0.02
0.1,6,3.95841,0.02,4.561859,0.02
0.1,7,7.44112,0.02,7.820719,0.02
0.2,0,3.481592,0.02,2.875014,0.02
0.2,1,4.421971,0.02,4.092238,0.02
0.2,2,7.662976,0.02,7.581867,0.02
0.2,3,1.118636,0.02,0.962295,0.02
0.2,4,6.953249,0.02,7.083373,0.02
0.2,5,2.871812,0.02,3.413615,0.02
0.2,6,3.913646,0.02,4.517725,0.02
0.2,7,7.447385,0.02,7.81153,0.02
0.3,0,3.458274,0.02,2.815568,0.02
0.3,1,4.399485,0.02,4.035423,0.02
0.3,2,7.670068,0.02,7.596657,0.02
0.3,3,1.100438,0.02,1.007883,0.02
0.3,4,6.927197,0.02,7.053564,0.02
0.3,5,2.894547,0.02,3.456342,0.02
0.3,6,3.940415,0.02,4.500625,0.02
0.3,7,7.448905,0.02,7.812636,0.02
0.4,0,3.528818,0.02,2.819093,0.02
0.4,1,4.39521,0.02,4.104297,0.02
0.4,2,7.705578,0.02,7.540408,0.02
0.4,3,1.120778,0.02,0.961453,0.02
0.4,4,6.93525,0.02,7.080101,0.02
0.4,5,2.874025,0.02,3.455775,0.02
0.4,6,3.983828,0.02,4.489936,0.02
0.4,7,7.410163,0.02,7.819733,0.02
0.5,0,3.497954,0.02,2.87007,0.02
0.5,1,4.44174,0.02,4.046746,0.02
0.5,2,7.662981,0.02,7.561662,0.02
0.5,3,1.130502,0.02,0.996705,0.02
0.5,4,6.904703,0.02,7.052163,0.02
0.5,5,2.892869,0.02,3.419642,0.02
0.5,6,3.957302,0.02,4.564016,0.02
0.5,7,7.41217,0.02,7.790248,0.02
0.6,0,3.494519,0.02,2.828847,0.02
0.6,1,4.432897,0.02,4.107418,0.02
0.6,2,7.680179,0.02,7.598173,0.02
0.6,3,1.192802,0.02,0.98672,0.02
0.6,4,6.930075,0.02,7.137101,0.02
0.6,5,2.871896,0.02,3.434048,0.02
0.6,6,3.935557,0.02,4.520486,0.02
0.6,7,7.41771,0.02,7.778979,0.02
0.7,0,3.471536,0.02,2.857639,0.02
0.7,1,4.425459,0.02,4.124865,0.02
0.7,2,7.695355,0.02,7.547024,0.02
0.7,3,1.12194,0.02,0.972393,0.02
0.7,4,6.925343,0.02,7.055315,0.02
0.7,5,2.917294,0.02,3.445469,0.02
0.7,6,3.937659,0.02,4.484311,0.02
0.7,7,7.409427,0.02,7.79809,0.02
0.8,0,3.469329,0.02,2.900983,0.02
0.8,1,4.426725,0.02,4.08784,0.02
0.8,2,7.649995,0.02,7.561332,0.02
0.8,3,1.116177,0.02,0.957734,0.02
0.8,4,6.89936,0.02,7.086179,0.02
0.8,5,2.85652,0.02,3.465741,0.02
0.8,6,3.934586,0.02,4.490269,0.02
0.8,7,7.392175,0.02,7.800251,0.02
0.9,0,3.503043,0.02,2.869745,0.02
0.9,1,4.442224,0.02,4.094281,0.02
0.9,2,7.678094,0.02,7.565166,0.02
0.9,3,1.145489,0.02,1.010731,0.02
0.9,4,6.923937,0.02,7.071214,0.02
0.9,5,2.826289,0.02,3.402379,0.02
0.9,6,3.977556,0.02,4.495947,0.02
0.9,7,7.392922,0.02,7.818646,0.02
1.0,0,3.534951,0.02,2.855942,0.02
1.0,1,4.431195,0.02,4.06744,0.02
1.0,2,7.670618,0.02,7.544864,0.02
1.0,3,1.123545,0.02,0.990202,0.02
1.0,4,6.958043,0.02,7.103081,0.02
1.0,5,2.846642,0.02,3.414619,0.02
1.0,6,3.982798,0.02,4.483461,0.02
1.0,7,7.385847,0.02,7.792856,0.02
1.1,0,3.530576,0.02,2.878676,0.02
1.1,1,4.4287,0.02,4.109828,0.02
1.1,2,7.692677,0.02,7.563954,0.02
1.1,3,1.11175,0.02,0.997913,0.02
1.1,4,6.946548,0.02,7.056278,0.02
1.1,5,2.892894,0.02,3.409515,0.02
1.1,6,3.97125,0.02,4.529069,0.02
1.1,7,7.437515,0.02,7.78898,0.02
1.2,0,3.523574,0.02,2.863648,0.02
1.2,1,4.484111,0.02,4.101384,0.02
1.2,2,7.702522,0.02,7.566582,0.02
1.2,3,1.156486,0.02,0.964488,0.02
1.2,4,6.871402,0.02,7.074057,0.02
1.2,5,2.852707,0.02,3.406426,0.02
1.2,6,3.93379,0.02,4.486826,0.02
1.2,7,7.378334,0.02,7.824062,0.02
1.3,0,3.509708,0.02,2.867372,0.02
1.3,1,4.43155,0.02,4.120666,0.02
1.3,2,7.706337,0.02,7.593524,0.02
1.3,3,1.15604,0.02,0.941882,0.02
1.3,4,6.948155,0.02,7.057739,0.02
1.3,5,2.875754,0.02,3.413918,0.02
1.3,6,3.95735,0.02,4.495711,0.02
1.3,7,7.422415,0.02,7.798589,0.02
1.4,0,3.520905,0.02,2.8743,0.02
1.4,1,4.419766,0.02,4.083521,0.02
1.4,2,7.676876,0.02,7.619689,0.02
1.4,3,1.160503,0.02,0.957131,0.02
1.4,4,6.928226,0.02,7.078959,0.02
1.4,5,2.872162,0.02,3.392514,0.02
1.4,6,3.944634,0.02,4.489174,0.02
1.4,7,7.394764,0.02,7.748999,0.02
1.5,0,3.543736,0.02,2.897965,0.02
1.5,1,4.438805,0.02,4.091912,0.02
1.5,2,7.714395,0.02,7.619801,0.02
1.5,3,1.163585,0.02,0.97378,0.02
1.5,4,6.953341,0.02,7.083539,0.02
1.5,5,2.84623,0.02,3.392865,0.02
1.5,6,3.955376,0.02,4.470534,0.02
1.5,7,7.406512,0.02,7.781667,0.02
1.6,0,3.541261,0.02,2.872552,0.02
1.6,1,4.465446,0.02,4.112249,0.02
1.6,2,7.692239,0.02,7.580551,0.02
1.6,3,1.149743,0.02,0.954423,0.02
1.6,4,6.907447,0.02,7.121393,0.02
1.6,5,2.86702,0.02,3.405371,0.02
1.6,6,3.972142,0.02,4.482811,0.02
1.6,7,7.38035,0.02,7.741604,0.02
1.7,0,3.56277,0.02,2.894031,0.02
1.7,1,4.444631,0.02,4.13545,0.02
1.7,2,7.730882,0.02,7.549478,0.02
1.7,3,1.144436,0.02,0.993874,0.02
1.7,4,6.926817,0.02,7.066436,0.02
1.7,5,2.84402,0.02,3.413786,0.02
1.7,6,3.951427,0.02,4.460146,0.02
1.7,7,7.440861,0.02,7.780436,0.02
1.8,0,3.536896,0.02,2.886674,0.02
1.8,1,4.424293,0.02,4.108541,0.02
1.8,2,7.704822,0.02,7.571133,0.02
1.8,3,1.146361,0.02,0.970717,0.02
1.8,4,6.905988,0.02,7.071471,0.02
1.8,5,2.848681,0.02,3.40652,0.02
1.8,6,3.942003,0.02,4.476211,0.02
1.8,7,7.41846,0.02,7.791564,0.02
1.9,0,3.502741,0.02,2.926349,0.02
1.9,1,4.399586,0.02,4.089767,0.02
1.9,2,7.663652,0.02,7.585755,0.02
1.9,3,1.130769,0.02,0.97196,0.02
1.9,4,6.857129,0.02,7.049567,0.02
1.9,5,2.854598,0.02,3.381326,0.02
1.9,6,3.969456,0.02,4.480087,0.02
1.9,7,7.383642,0.02,7.800979,0.02
2.0,0,3.542835,0.02,2.897552,0.02
2.0,1,4.435513,0.02,4.135517,0.02
2.0,2,7.693844,0.02,7.577263,0.02
2.0,3,1.158924,0.02,0.968878,0.02
2.0,4,6.929046,0.02,7.027724,0.02
2.0,5,2.853848,0.02,3.432443,0.02
2.0,6,3.944854,0.02,4.505785,0.02
2.0,7,7.397596,0.02,7.807694,0.02
2.1,0,3.521925,0.02,2.886069,0.02
2.1,1,4.435738,0.02,4.079481,0.02
2.1,2,7.699272,0.02,7.598621,0.02
2.1,3,1.127812,0.02,0.965319,0.02
2.1,4,6.928693,0.02,7.067006,0.02
2.1,5,2.821332,0.02,3.374742,0.02
2.1,6,3.891774,0.02,4.461992,0.02
2.1,7,7.398392,0.02,7.759084,0.02
2.2,0,3.531441,0.02,2.880077,0.02
2.2,1,4.449026,0.02,4.095722,0.02
2.2,2,7.652355,0.02,7.5653,0.02
2.2,3,1.150389,0.02,0.945331,0.02
2.2,4,6.924371,0.02,7.059505,0.02
2.2,5,2.832376,0.02,3.417394,0.02
2.2,6,3.916511,0.02,4.475169,0.02
2.2,7,7.352302,0.02,7.803486,0.02
2.3,0,3.533058,0.02,2.912929,0.02
2.3,1,4.474849,0.02,4.105649,0.02
2.3,2,7.669961,0.02,7.624249,0.02
2.3,3,1.135438,0.02,0.980357,0.02
2.3,4,6.943791,0.02,7.069617,0.02
2.3,5,2.840029,0.02,3.358667,0.02
2.3,6,3.89454,0.02,4.436299,0.02
2.3,7,7.395322,0.02,7.803783,0.02
2.4,0,3.549106,0.02,2.926935,0.02
2.4,1,4.467758,0.02,4.120224,0.02
2.4,2,7.672644,0.02,7.570388,0.02
2.4,3,1.178056,0.02,0.941469,0.02
2.4,4,6.890512,0.02,7.042858,0.02
2.4,5,2.842934,0.02,3.379101,0.02
2.4,6,3.953052,0.02,4.457821,0.02
2.4,7,7.391136,0.02,7.75583,0.02
2.5,0,3.544759,0.02,2.920846,0.02
2.5,1,4.436454,0.02,4.117419,0.02
