timestamp_s,x,y,theta
0.0,1.0,3.0,1.33645
0.1,1.0006,3.002514,1.33645
0.2,1.0012,3.005027,1.33645
0.3,1.0018,3.007541,1.336449
0.4,1.0024,3.010054,1.336447
0.5,1.003,3.012568,1.336446
0.6,1.0036,3.015081,1.336444
0.7,1.0042,3.017594,1.336441
0.8,1.0048,3.020108,1.336439
0.9,1.005401,3.022621,1.336436
1.0,1.006001,3.025135,1.336432
1.1,1.006601,3.027648,1.336429
1.2,1.007201,3.030161,1.336425
1.3,1.007801,3.032674,1.33642
1.4,1.008401,3.035188,1.336415
1.5,1.009001,3.037701,1.33641
1.6,1.009601,3.040214,1.336405
1.7,1.010201,3.042727,1.336399
1.8,1.010801,3.04524,1.336392
1.9,1.011401,3.047752,1.336386
2.0,1.012001,3.050265,1.336379
2.1,1.012601,3.052778,1.336372
2.2,1.013201,3.055291,1.336364
2.3,1.013801,3.057803,1.336356
2.4,1.014401,3.060315,1.336347
2.5,1.015002,3.062828,1.336339
2.6,1.015602,3.06534,1.33633
2.7,1.016202,3.067852,1.33632
2.8,1.016802,3.070364,1.33631
2.9,1.017402,3.072876,1.3363
3.0,1.018002,3.075388,1.33629
3.1,1.018602,3.0779,1.336279
3.2,1.019202,3.080411,1.336267
3.3,1.019802,3.082923,1.336256
3.4,1.020402,3.085434,1.336244
3.5,1.021002,3.087945,1.336232
3.6,1.021602,3.090456,1.336219
3.7,1.022202,3.092967,1.336206
3.8,1.022802,3.095478,1.336192
3.9,1.023402,3.097988,1.336179
4.0,1.024002,3.100499,1.336165
4.1,1.024602,3.103009,1.33615
4.2,1.025203,3.105519,1.336135
4.3,1.025803,3.108029,1.33612
4.4,1.026403,3.110539,1.336105
4.5,1.027003,3.113048,1.336089
4.6,1.027603,3.115558,1.336072
4.7,1.028203,3.118067,1.336056
4.8,1.028803,3.120576,1.336039
4.9,1.029403,3.123085,1.336021
5.0,1.030003,3.125594,1.336004
5.1,1.030603,3.128102,1.335986
5.2,1.031203,3.13061,1.335967
5.3,1.031803,3.133118,1.335948
5.4,1.032403,3.135626,1.335929
5.5,1.033003,3.138134,1.33591
5.6,1.033603,3.140641,1.33589
5.7,1.034203,3.143148,1.33587
5.8,1.034803,3.145655,1.335849
5.9,1.035404,3.148162,1.335828
6.0,1.036004,3.150669,1.335807
6.1,1.036604,3.153175,1.335785
6.2,1.037204,3.155681,1.335763
6.3,1.037804,3.158187,1.335741
6.4,1.038404,3.160692,1.335718
6.5,1.039004,3.163198,1.335695
6.6,1.039604,3.165703,1.335671
6.7,1.040204,3.168207,1.335647
6.8,1.040804,3.170712,1.335623
6.9,1.041404,3.173216,1.335599
7.0,1.042004,3.17572,1.335574
7.1,1.042604,3.178224,1.335548
7.2,1.043204,3.180727,1.335523
7.3,1.043804,3.18323,1.335497
7.4,1.044404,3.185733,1.33547
7.5,1.045005,3.188235,1.335443
7.6,1.045605,3.190738,1.335416
7.7,1.046205,3.19324,1.335389
7.8,1.046805,3.195741,1.335361
7.9,1.047405,3.198242,1.335333
8.0,1.048005,3.200743,1.335304
8.1,1.048605,3.203244,1.335275
8.2,1.049205,3.205744,1.335246
8.3,1.049805,3.208244,1.335216
8.4,1.050405,3.210744,1.335186
8.5,1.051005,3.213244,1.335156
8.6,1.051605,3.215743,1.335125
8.7,1.052205,3.218241,1.335094
8.8,1.052805,3.22074,1.335062
8.9,1.053405,3.223238,1.33503
9.0,1.054005,3.225735,1.334998
9.1,1.054605,3.228233,1.334966
9.2,1.055206,3.230729,1.334933
9.3,1.055806,3.233226,1.334899
9.4,1.056406,3.235722,1.334866
9.5,1.057006,3.238218,1.334831
9.6,1.057606,3.240713,1.334797
9.7,1.058206,3.243209,1.334762
9.8,1.058806,3.245703,1.334727
9.9,1.059406,3.248198,1.334691
10.0,1.060006,3.250691,1.334656
10.1,1.060606,3.253185,1.334619
10.2,1.061206,3.255678,1.334583
10.3,1.061806,3.258171,1.334546
10.4,1.062406,3.260663,1.334508
10.5,1.063006,3.263155,1.33447
10.6,1.063606,3.265646,1.334432
10.7,1.064206,3.268137,1.334394
10.8,1.064806,3.270628,1.334355
10.9,1.065407,3.273118,1.334315
11.0,1.066007,3.275608,1.334276
11.1,1.066607,3.278097,1.334236
11.2,1.067207,3.280586,1.334195
11.3,1.067807,3.283075,1.334155
11.4,1.068407,3.285563,1.334113
11.5,1.069007,3.28805,1.334072
11.6,1.069607,3.290537,1.33403
11.7,1.070207,3.293024,1.333988
11.8,1.070807,3.29551,1.333945
11.9,1.071407,3.297996,1.333902
12.0,1.072007,3.300481,1.333859
12.1,1.072607,3.302966,1.333815
12.2,1.073207,3.30545,1.333771
12.3,1.073807,3.307934,1.333726
12.4,1.074407,3.310417,1.333681
12.5,1.075008,3.3129,1.333636
12.6,1.075608,3.315382,1.333591
12.7,1.076208,3.317864,1.333545
12.8,1.076808,3.320345,1.333498
12.9,1.077408,3.322826,1.333451
13.0,1.078008,3.325307,1.333404
13.1,1.078608,3.327786,1.333357
13.2,1.079208,3.330266,1.333309
13.3,1.079808,3.332744,1.33326
13.4,1.080408,3.335223,1.333212
13.5,1.081008,3.3377,1.333163
13.6,1.081608,3.340178,1.333113
13.7,1.082208,3.342654,1.333063
13.8,1.082808,3.34513,1.333013
13.9,1.083408,3.347606,1.332963
14.0,1.084008,3.350081,1.332912
14.1,1.084608,3.352555,1.33286
14.2,1.085209,3.355029,1.332808
14.3,1.085809,3.357502,1.332756
14.4,1.086409,3.359975,1.332704
14.5,1.087009,3.362447,1.332651
14.6,1.087609,3.364919,1.332598
14.7,1.088209,3.36739,1.332544
14.8,1.088809,3.36986,1.33249
14.9,1.089409,3.37233,1.332435
15.0,1.090009,3.3748,1.332381
15.1,1.090609,3.377268,1.332325
15.2,1.091209,3.379736,1.33227
15.3,1.091809,3.382204,1.332214
15.4,1.092409,3.384671,1.332157
15.5,1.093009,3.387137,1.332101
15.6,1.093609,3.389603,1.332044
15.7,1.094209,3.392068,1.331986
15.8,1.094809,3.394532,1.331928
15.9,1.09541,3.396996,1.33187
16.0,1.09601,3.399459,1.331811
16.1,1.09661,3.401922,1.331752
16.2,1.09721,3.404384,1.331692
16.3,1.09781,3.406845,1.331632
16.4,1.09841,3.409306,1.331572
16.5,1.09901,3.411766,1.331511
16.6,1.09961,3.414225,1.33145
16.7,1.10021,3.416684,1.331389
