timestamp,anchor_id,range,sigma
0.0,0,0.7071,0.03
0.0,1,1.5811,0.03
0.0,2,2.1213,0.03
0.0,3,1.5811,0.03
0.2,0,0.7433,0.03
0.2,1,1.5338,0.03
0.2,2,2.0863,0.03
0.2,3,1.5977,0.03
0.4,0,0.781,0.03
0.4,1,1.4866,0.03
0.4,2,2.0518,0.03
0.4,3,1.6155,0.03
0.6,0,0.8201,0.03
0.6,1,1.4396,0.03
0.6,2,2.018,0.03
0.6,3,1.6348,0.03
0.8,0,0.8602,0.03
0.8,1,1.3928,0.03
0.8,2,1.9849,0.03
0.8,3,1.6553,0.03
1.0,0,0.9014,0.03
1.0,1,1.3463,0.03
1.0,2,1.9526,0.03
1.0,3,1.6771,0.03
1.2,0,0.9434,0.03
1.2,1,1.3,0.03
1.2,2,1.9209,0.03
1.2,3,1.7,0.03
1.4,0,0.9862,0.03
1.4,1,1.254,0.03
1.4,2,1.8901,0.03
1.4,3,1.7241,0.03
1.6,0,1.0296,0.03
1.6,1,1.2083,0.03
1.6,2,1.8601,0.03
1.6,3,1.7493,0.03
1.8,0,1.0735,0.03
1.8,1,1.163,0.03
1.8,2,1.831,0.03
1.8,3,1.7755,0.03
2.0,0,1.118,0.03
2.0,1,1.118,0.03
2.0,2,1.8028,0.03
2.0,3,1.8028,0.03
2.2,0,1.163,0.03
2.2,1,1.0735,0.03
2.2,2,1.7755,0.03
2.2,3,1.831,0.03
2.4,0,1.2083,0.03
2.4,1,1.0296,0.03
2.4,2,1.7493,0.03
2.4,3,1.8601,0.03
2.6,0,1.254,0.03
2.6,1,0.9862,0.03
2.6,2,1.7241,0.03
2.6,3,1.8901,0.03
2.8,0,1.3,0.03
2.8,1,0.9434,0.03
2.8,2,1.7,0.03
2.8,3,1.9209,0.03
3.0,0,1.3463,0.03
3.0,1,0.9014,0.03
3.0,2,1.6771,0.03
3.0,3,1.9526,0.03
3.2,0,1.3928,0.03
3.2,1,0.8602,0.03
3.2,2,1.6553,0.03
3.2,3,1.9849,0.03
3.4,0,1.4396,0.03
3.4,1,0.8201,0.03
3.4,2,1.6348,0.03
3.4,3,2.018,0.03
3.6,0,1.4866,0.03
3.6,1,0.781,0.03
3.6,2,1.6155,0.03
3.6,3,2.0518,0.03
3.8,0,1.5338,0.03
3.8,1,0.7433,0.03
3.8,2,1.5977,0.03
3.8,3,2.0863,0.03
