timestamp,anchor_id,range,sigma
0.0,0,1.4279,0.03
0.0,1,11.0459,0.03
0.0,2,15.5537,0.03
0.0,3,11.0587,0.03
0.02,0,1.4666,0.03
0.02,1,11.048,0.03
0.02,2,15.5318,0.03
0.02,3,11.0381,0.03
0.04,0,1.4265,0.03
0.04,1,10.9982,0.03
0.04,2,15.522,0.03
0.04,3,11.0402,0.03
0.06,0,1.4511,0.03
0.06,1,11.0071,0.03
0.06,2,15.5084,0.03
0.06,3,11.082,0.03
0.08,0,1.5045,0.03
0.08,1,11.0076,0.03
0.08,2,15.4823,0.03
0.08,3,11.0249,0.03
0.1,0,1.499,0.03
0.1,1,10.916,0.03
0.1,2,15.5189,0.03
0.1,3,10.996,0.03
0.12,0,1.4948,0.03
0.12,1,10.8896,0.03
0.12,2,15.4928,0.03
0.12,3,11.0629,0.03
0.14,0,1.499,0.03
0.14,1,10.893,0.03
0.14,2,15.4568,0.03
0.14,3,11.0699,0.03
0.16,0,1.5569,0.03
0.16,1,10.892,0.03
0.16,2,15.4386,0.03
0.16,3,11.0413,0.03
0.18,0,1.5489,0.03
0.18,1,10.8907,0.03
0.18,2,15.461,0.03
0.18,3,11.0392,0.03
0.2,0,1.5583,0.03
0.2,1,10.8589,0.03
0.2,2,15.428,0.03
0.2,3,11.0348,0.03
0.22,0,1.5463,0.03
0.22,1,10.8551,0.03
0.22,2,15.3989,0.03
0.22,3,11.0353,0.03
0.24,0,1.5679,0.03
0.24,1,10.8021,0.03
0.24,2,15.4068,0.03
0.24,3,11.079,0.03
0.26,0,1.607,0.03
0.26,1,10.7958,0.03
0.26,2,15.3608,0.03
0.26,3,11.0928,0.03
0.28,0,1.6028,0.03
0.28,1,10.7937,0.03
0.28,2,15.3927,0.03
0.28,3,11.0611,0.03
0.3,0,1.6382,0.03
0.3,1,10.7962,0.03
0.3,2,15.3919,0.03
0.3,3,11.0647,0.03
0.32,0,1.6083,0.03
0.32,1,10.7348,0.03
0.32,2,15.34,0.03
0.32,3,11.0931,0.03
0.34,0,1.6268,0.03
0.34,1,10.7433,0.03
0.34,2,15.3181,0.03
0.34,3,11.0995,0.03
0.36,0,1.6471,0.03
0.36,1,10.6982,0.03
0.36,2,15.3208,0.03
0.36,3,11.0661,0.03
0.38,0,1.6654,0.03
0.38,1,10.7136,0.03
0.38,2,15.3185,0.03
0.38,3,11.0851,0.03
0.4,0,1.7041,0.03
0.4,1,10.6774,0.03
0.4,2,15.3265,0.03
0.4,3,11.1015,0.03
0.42,0,1.6751,0.03
0.42,1,10.6599,0.03
0.42,2,15.2649,0.03
0.42,3,11.0925,0.03
0.44,0,1.7618,0.03
0.44,1,10.6506,0.03
0.44,2,15.2791,0.03
0.44,3,11.0377,0.03
0.46,0,1.7488,0.03
0.46,1,10.6409,0.03
0.46,2,15.2473,0.03
0.46,3,11.1167,0.03
0.48,0,1.7702,0.03
0.48,1,10.5995,0.03
0.48,2,15.2371,0.03
0.48,3,11.0832,0.03
0.5,0,1.7954,0.03
0.5,1,10.6262,0.03
0.5,2,15.2308,0.03
0.5,3,11.0469,0.03
0.52,0,1.764,0.03
0.52,1,10.5543,0.03
0.52,2,15.2861,0.03
0.52,3,11.1069,0.03
0.54,0,1.7807,0.03
0.54,1,10.5158,0.03
0.54,2,15.2425,0.03
0.54,3,11.116,0.03
0.56,0,1.8137,0.03
0.56,1,10.5706,0.03
0.56,2,15.2087,0.03
0.56,3,11.095,0.03
0.58,0,1.7995,0.03
0.58,1,10.5216,0.03
0.58,2,15.1795,0.03
0.58,3,11.1115,0.03
0.6,0,1.8757,0.03
0.6,1,10.5182,0.03
0.6,2,15.1545,0.03
0.6,3,11.1194,0.03
0.62,0,1.8757,0.03
0.62,1,10.4378,0.03
0.62,2,15.1518,0.03
0.62,3,11.1102,0.03
0.64,0,1.8725,0.03
0.64,1,10.4442,0.03
0.64,2,15.1227,0.03
0.64,3,11.0952,0.03
0.66,0,1.8607,0.03
0.66,1,10.4366,0.03
0.66,2,15.1485,0.03
0.66,3,11.1088,0.03
0.68,0,1.8693,0.03
0.68,1,10.4381,0.03
0.68,2,15.1234,0.03
0.68,3,11.1131,0.03
0.7,0,1.9229,0.03
0.7,1,10.4095,0.03
0.7,2,15.1425,0.03
0.7,3,11.1204,0.03
0.72,0,1.9562,0.03
0.72,1,10.4099,0.03
0.72,2,15.1119,0.03
0.72,3,11.1313,0.03
0.74,0,1.9492,0.03
0.74,1,10.3945,0.03
0.74,2,15.0669,0.03
0.74,3,11.1092,0.03
0.76,0,1.9591,0.03
0.76,1,10.3621,0.03
0.76,2,15.1054,0.03
0.76,3,11.1535,0.03
0.78,0,1.9717,0.03
0.78,1,10.3537,0.03
0.78,2,15.0219,0.03
0.78,3,11.1385,0.03
0.8,0,1.9914,0.03
0.8,1,10.3334,0.03
0.8,2,15.03,0.03
0.8,3,11.1415,0.03
0.82,0,2.0325,0.03
0.82,1,10.3187,0.03
0.82,2,15.0439,0.03
0.82,3,11.1391,0.03
0.84,0,2.0343,0.03
0.84,1,10.2977,0.03
0.84,2,15.0077,0.03
0.84,3,11.1494,0.03
0.86,0,2.0451,0.03
0.86,1,10.2286,0.03
0.86,2,15.0326,0.03
0.86,3,11.1363,0.03
0.88,0,2.032,0.03
0.88,1,10.2677,0.03
0.88,2,15.0267,0.03
0.88,3,11.165,0.03
0.9,0,2.1048,0.03
0.9,1,10.2332,0.03
0.9,2,15.0035,0.03
0.9,3,11.1341,0.03
0.92,0,2.1038,0.03
0.92,1,10.2432,0.03
0.92,2,14.9565,0.03
0.92,3,11.1619,0.03
0.94,0,2.0963,0.03
0.94,1,10.2477,0.03
0.94,2,14.9957,0.03
0.94,3,11.1629,0.03
0.96,0,2.1038,0.03
0.96,1,10.1529,0.03
0.96,2,14.9496,0.03
0.96,3,11.1755,0.03
0.98,0,2.1905,0.03
0.98,1,10.1704,0.03
0.98,2,14.9138,0.03
0.98,3,11.138,0.03
1.0,0,2.1907,0.03
1.0,1,10.1482,0.03
1.0,2,14.9137,0.03
1.0,3,11.1548,0.03
1.02,0,2.1645,0.03
1.02,1,10.1161,0.03
1.02,2,14.9153,0.03
1.02,3,11.1528,0.03
1.04,0,2.1869,0.03
1.04,1,10.1225,0.03
1.04,2,14.8832,0.03
1.04,3,11.1735,0.03
1.06,0,2.2087,0.03
1.06,1,10.0771,0.03
1.06,2,14.8645,0.03
1.06,3,11.1776,0.03
1.08,0,2.2465,0.03
1.08,1,10.0477,0.03
1.08,2,14.8804,0.03
1.08,3,11.1523,0.03
1.1,0,2.2645,0.03
1.1,1,10.0401,0.03
1.1,2,14.8827,0.03
1.1,3,11.1877,0.03
1.12,0,2.2299,0.03
1.12,1,10.0324,0.03
1.12,2,14.8607,0.03
1.12,3,11.194,0.03
1.14,0,2.2437,0.03
1.14,1,9.9979,0.03
1.14,2,14.8674,0.03
1.14,3,11.1684,0.03
1.16,0,2.2637,0.03
1.16,1,10.0087,0.03
1.16,2,14.8148,0.03
1.16,3,11.1622,0.03
1.18,0,2.2737,0.03
1.18,1,9.9801,0.03
1.18,2,14.7888,0.03
1.18,3,11.205,0.03
1.2,0,2.3288,0.03
1.2,1,9.9521,0.03
1.2,2,14.8074,0.03
1.2,3,11.1905,0.03
1.22,0,2.3479,0.03
1.22,1,9.9723,0.03
1.22,2,14.8058,0.03
1.22,3,11.2032,0.03
1.24,0,2.3265,0.03
1.24,1,9.9254,0.03
1.24,2,14.7875,0.03
1.24,3,11.1961,0.03
1.26,0,2.3552,0.03
1.26,1,9.9295,0.03
1.26,2,14.7508,0.03
1.26,3,11.1991,0.03
1.28,0,2.3602,0.03
1.28,1,9.8966,0.03
1.28,2,14.772,0.03
1.28,3,11.2105,0.03
1.3,0,2.3826,0.03
1.3,1,9.8361,0.03
1.3,2,14.7344,0.03
1.3,3,11.2179,0.03
1.32,0,2.4277,0.03
1.32,1,9.8179,0.03
1.32,2,14.7169,0.03
1.32,3,11.2342,0.03
1.34,0,2.4426,0.03
1.34,1,9.8121,0.03
1.34,2,14.7692,0.03
1.34,3,11.2381,0.03
1.36,0,2.4304,0.03
1.36,1,9.8316,0.03
1.36,2,14.7038,0.03
1.36,3,11.2302,0.03
1.38,0,2.4835,0.03
1.38,1,9.8063,0.03
1.38,2,14.6735,0.03
1.38,3,11.1905,0.03
1.4,0,2.4675,0.03
1.4,1,9.787,0.03
1.4,2,14.7068,0.03
1.4,3,11.2384,0.03
1.42,0,2.4749,0.03
1.42,1,9.7485,0.03
1.42,2,14.6693,0.03
1.42,3,11.225,0.03
1.44,0,2.4956,0.03
1.44,1,9.7298,0.03
1.44,2,14.685,0.03
1.44,3,11.2334,0.03
1.46,0,2.5205,0.03
1.46,1,9.7211,0.03
1.46,2,14.6579,0.03
1.46,3,11.2413,0.03
1.48,0,2.5512,0.03
1.48,1,9.6947,0.03
1.48,2,14.5968,0.03
1.48,3,11.2351,0.03
1.5,0,2.5871,0.03
1.5,1,9.6761,0.03
1.5,2,14.6014,0.03
1.5,3,11.2729,0.03
1.52,0,2.5408,0.03
1.52,1,9.673,0.03
1.52,2,14.5726,0.03
1.52,3,11.2429,0.03
1.54,0,2.6012,0.03
1.54,1,9.6857,0.03
1.54,2,14.6106,0.03
1.54,3,11.244,0.03
1.56,0,2.5922,0.03
1.56,1,9.6356,0.03
1.56,2,14.5697,0.03
1.56,3,11.2579,0.03
1.58,0,2.6508,0.03
1.58,1,9.6154,0.03
1.58,2,14.5825,0.03
1.58,3,11.2783,0.03
1.6,0,2.6507,0.03
1.6,1,9.5823,0.03
1.6,2,14.5999,0.03
1.6,3,11.2838,0.03
1.62,0,2.6838,0.03
1.62,1,9.5755,0.03
1.62,2,14.5409,0.03
1.62,3,11.2976,0.03
1.64,0,2.6946,0.03
1.64,1,9.5845,0.03
1.64,2,14.5172,0.03
1.64,3,11.2788,0.03
1.66,0,2.7214,0.03
1.66,1,9.5323,0.03
1.66,2,14.5554,0.03
1.66,3,11.2745,0.03
1.68,0,2.7121,0.03
1.68,1,9.524,0.03
1.68,2,14.5146,0.03
1.68,3,11.2796,0.03
1.7,0,2.7442,0.03
1.7,1,9.5071,0.03
1.7,2,14.4875,0.03
1.7,3,11.2708,0.03
1.72,0,2.7589,0.03
1.72,1,9.5273,0.03
1.72,2,14.5046,0.03
1.72,3,11.2962,0.03
1.74,0,2.7615,0.03
1.74,1,9.4765,0.03
1.74,2,14.5055,0.03
1.74,3,11.363,0.03
1.76,0,2.8087,0.03
1.76,1,9.434,0.03
1.76,2,14.5049,0.03
1.76,3,11.2709,0.03
1.78,0,2.8116,0.03
1.78,1,9.4263,0.03
1.78,2,14.4554,0.03
1.78,3,11.3383,0.03
1.8,0,2.8354,0.03
1.8,1,9.4052,0.03
1.8,2,14.4095,0.03
1.8,3,11.2912,0.03
1.82,0,2.8333,0.03
1.82,1,9.3764,0.03
1.82,2,14.4414,0.03
1.82,3,11.3223,0.03
1.84,0,2.8226,0.03
1.84,1,9.3722,0.03
1.84,2,14.4484,0.03
1.84,3,11.3116,0.03
1.86,0,2.8563,0.03
1.86,1,9.3617,0.03
1.86,2,14.3986,0.03
1.86,3,11.3459,0.03
1.88,0,2.8969,0.03
1.88,1,9.3487,0.03
1.88,2,14.4023,0.03
1.88,3,11.3375,0.03
1.9,0,2.8933,0.03
1.9,1,9.3174,0.03
1.9,2,14.3917,0.03
1.9,3,11.3254,0.03
1.92,0,2.9266,0.03
1.92,1,9.2762,0.03
1.92,2,14.3815,0.03
1.92,3,11.3683,0.03
1.94,0,2.912,0.03
1.94,1,9.294,0.03
1.94,2,14.3777,0.03
1.94,3,11.3363,0.03
1.96,0,2.969,0.03
1.96,1,9.243,0.03
1.96,2,14.3831,0.03
1.96,3,11.3394,0.03
1.98,0,2.9791,0.03
1.98,1,9.2713,0.03
1.98,2,14.3578,0.03
1.98,3,11.3608,0.03
2.0,0,2.9839,0.03
2.0,1,9.2348,0.03
2.0,2,14.3357,0.03
2.0,3,11.35,0.03
2.02,0,3.0128,0.03
2.02,1,9.2135,0.03
2.02,2,14.3218,0.03
2.02,3,11.3641,0.03
2.04,0,3.0091,0.03
2.04,1,9.188,0.03
2.04,2,14.293,0.03
2.04,3,11.3641,0.03
2.06,0,3.0166,0.03
2.06,1,9.1781,0.03
2.06,2,14.2974,0.03
2.06,3,11.3478,0.03
2.08,0,3.0511,0.03
2.08,1,9.1647,0.03
2.08,2,14.2602,0.03
2.08,3,11.3919,0.03
2.1,0,3.0557,0.03
2.1,1,9.1392,0.03
2.1,2,14.2427,0.03
2.1,3,11.3803,0.03
2.12,0,3.0999,0.03
2.12,1,9.1063,0.03
2.12,2,14.2909,0.03
2.12,3,11.4051,0.03
2.14,0,3.1095,0.03
2.14,1,9.1237,0.03
2.14,2,14.2262,0.03
2.14,3,11.3473,0.03
2.16,0,3.1055,0.03
2.16,1,9.1099,0.03
2.16,2,14.2585,0.03
2.16,3,11.3987,0.03
2.18,0,3.1681,0.03
2.18,1,9.0636,0.03
2.18,2,14.2334,0.03
2.18,3,11.4276,0.03
2.2,0,3.1449,0.03
2.2,1,9.1088,0.03
2.2,2,14.2207,0.03
2.2,3,11.4183,0.03
2.22,0,3.1754,0.03
2.22,1,9.0626,0.03
2.22,2,14.1723,0.03
2.22,3,11.3984,0.03
2.24,0,3.1681,0.03
2.24,1,9.0207,0.03
2.24,2,14.2054,0.03
2.24,3,11.4328,0.03
2.26,0,3.2085,0.03
2.26,1,9.0351,0.03
2.26,2,14.1733,0.03
2.26,3,11.3907,0.03
2.28,0,3.2243,0.03
2.28,1,8.957,0.03
2.28,2,14.1719,0.03
2.28,3,11.408,0.03
2.3,0,3.2168,0.03
2.3,1,8.9776,0.03
2.3,2,14.1678,0.03
2.3,3,11.4067,0.03
2.32,0,3.2321,0.03
2.32,1,8.946,0.03
2.32,2,14.1736,0.03
2.32,3,11.4414,0.03
2.34,0,3.3005,0.03
2.34,1,8.9267,0.03
2.34,2,14.1106,0.03
2.34,3,11.4407,0.03
2.36,0,3.3204,0.03
2.36,1,8.9024,0.03
2.36,2,14.1355,0.03
2.36,3,11.4682,0.03
2.38,0,3.2911,0.03
2.38,1,8.8886,0.03
2.38,2,14.1079,0.03
2.38,3,11.4644,0.03
2.4,0,3.3253,0.03
2.4,1,8.896,0.03
2.4,2,14.095,0.03
2.4,3,11.4534,0.03
2.42,0,3.3369,0.03
2.42,1,8.8955,0.03
2.42,2,14.1209,0.03
2.42,3,11.4668,0.03
2.44,0,3.3833,0.03
2.44,1,8.8074,0.03
2.44,2,14.0942,0.03
2.44,3,11.4832,0.03
2.46,0,3.3975,0.03
2.46,1,8.8356,0.03
2.46,2,14.0662,0.03
2.46,3,11.4722,0.03
2.48,0,3.4232,0.03
2.48,1,8.806,0.03
2.48,2,14.088,0.03
2.48,3,11.4704,0.03
2.5,0,3.439,0.03
2.5,1,8.8005,0.03
2.5,2,14.0539,0.03
2.5,3,11.4975,0.03
2.52,0,3.4469,0.03
