t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00200;0.035915;-1.481458;-1.783157;1.793474;5.294526;-2.198687;1.811888;5.306347;-2.197372;0.249761;0.052521;0.255836;-0.015330;7.016293;23.732746
0.01653;0.033283;-1.493666;-1.780605;1.804932;5.296675;-2.191216;1.805969;5.305328;-2.207118;0.249774;0.051057;0.238272;0.123122;7.026289;24.437412
0.03468;0.030683;-1.505875;-1.777446;1.797752;5.294181;-2.204830;1.803067;5.302567;-2.194524;0.249654;0.063177;0.276972;0.045748;7.035356;23.896845
0.04970;0.028120;-1.518099;-1.775038;1.795565;5.292131;-2.193598;1.793269;5.285279;-2.201747;0.249799;0.048152;0.257055;0.018522;7.028634;24.448632
0.06571;0.025588;-1.530326;-1.772204;1.785926;5.275177;-2.197057;1.788651;5.295013;-2.211122;0.249721;0.056688;0.249764;0.093809;7.049372;25.148188
0.08170;0.023091;-1.542553;-1.768762;1.781073;5.284790;-2.206385;1.788953;5.288901;-2.209099;0.249589;0.068836;0.254512;0.094755;7.055993;25.229464
0.09895;0.020637;-1.554790;-1.765459;1.781792;5.279216;-2.205774;1.789024;5.290404;-2.199431;0.249621;0.066056;0.240908;0.066505;7.069928;24.864735
0.11587;0.018221;-1.567041;-1.762733;1.782048;5.280778;-2.196517;1.778622;5.267392;-2.206322;0.249742;0.054528;0.237762;0.058265;7.057513;25.415799
0.13292;0.015840;-1.579295;-1.759612;1.771383;5.257597;-2.208293;1.777817;5.261586;-2.198344;0.249662;0.062409;0.243602;-0.039424;7.064150;25.137490
0.14848;0.013496;-1.591561;-1.756983;1.771203;5.252425;-2.193900;1.786640;5.256866;-2.198589;0.249760;0.052589;0.225989;0.088893;7.074248;25.302189
0.16399;0.011184;-1.603834;-1.754387;1.779475;5.246997;-2.198954;1.788029;5.270842;-2.193026;0.249766;0.051911;0.243897;-0.007293;7.100587;25.132126
0.18202;0.008904;-1.616115;-1.752094;1.780282;5.260002;-2.189620;1.784734;5.286546;-2.184884;0.249817;0.045873;0.266470;0.068113;7.127432;24.797049
0.19824;0.006651;-1.628404;-1.750233;1.777553;5.276341;-2.183090;1.778207;5.293956;-2.187683;0.249880;0.037214;0.249569;0.035871;7.145452;25.064028
0.21427;0.004421;-1.640696;-1.748158;1.771022;5.283811;-2.186329;1.771296;5.273432;-2.184216;0.249851;0.041500;0.248644;0.027082;7.136316;24.984302
0.23032;0.002217;-1.652994;-1.746318;1.764227;5.263386;-2.183788;1.775379;5.262881;-2.188929;0.249882;0.036803;0.245679;0.008567;7.139568;25.359729
0.24586;0.000036;-1.665295;-1.744240;1.768884;5.253727;-2.186755;1.763951;5.257646;-2.181894;0.249850;0.041558;0.224481;0.043463;7.144124;25.075731
0.26277;-0.002121;-1.677602;-1.742552;1.756357;5.246802;-2.181480;1.765942;5.256399;-2.195859;0.249901;0.033766;0.264769;0.008287;7.155867;25.972624
0.27980;-0.004255;-1.689908;-1.740037;1.758042;5.245412;-2.192527;1.755521;5.248296;-2.204698;0.249780;0.050295;0.270666;0.066638;7.157896;26.623104
0.29696;-0.006358;-1.702213;-1.736971;1.747451;5.237290;-2.202320;1.763918;5.248413;-2.209832;0.249674;0.061316;0.272959;0.047554;7.172522;27.092938
0.31398;-0.008422;-1.714522;-1.733631;1.756624;5.238566;-2.206902;1.757464;5.253916;-2.218258;0.249613;0.066798;0.245084;0.058604;7.188705;27.767078
0.33152;-0.010445;-1.726830;-1.729745;1.750074;5.244112;-2.215153;1.750497;5.254403;-2.226425;0.249476;0.077732;0.245554;0.062108;7.199898;28.457698
0.34709;-0.012418;-1.739140;-1.725338;1.742518;5.243962;-2.220226;1.765452;5.244040;-2.207560;0.249326;0.088127;0.262810;0.123990;7.205943;27.629264
0.36261;-0.014339;-1.751473;-1.722153;1.757116;5.232725;-2.203904;1.765517;5.238304;-2.190788;0.249648;0.063711;0.281080;0.073116;7.212827;26.850830
0.37894;-0.016223;-1.763822;-1.719989;1.757317;5.226763;-2.186292;1.755394;5.251483;-2.216192;0.249837;0.043270;0.283156;0.089918;7.235547;28.430309
0.39547;-0.018077;-1.776159;-1.716576;1.747105;5.240452;-2.214317;1.752715;5.244489;-2.214322;0.249508;0.075290;0.275975;0.037483;7.240525;28.518768
0.41149;-0.019889;-1.788504;-1.712931;1.745586;5.234972;-2.213184;1.755052;5.264669;-2.217214;0.249539;0.072889;0.237828;0.022763;7.273078;28.893306
0.42752;-0.021656;-1.800852;-1.709068;1.747265;5.254277;-2.210587;1.748870;5.253693;-2.215022;0.249482;0.077254;0.259719;0.132555;7.273332;28.989030
0.44307;-0.023376;-1.813209;-1.705342;1.741109;5.243314;-2.210655;1.743185;5.234519;-2.208732;0.249518;0.074539;0.259186;0.087347;7.265756;28.842178
0.46010;-0.025050;-1.825577;-1.702020;1.734821;5.223200;-2.205590;1.751216;5.224444;-2.189958;0.249617;0.066423;0.281488;0.062859;7.270345;27.956766
0.47685;-0.026685;-1.837961;-1.699886;1.743228;5.213201;-2.187126;1.738943;5.230186;-2.205404;0.249842;0.042694;0.275839;0.056640;7.285338;28.964096
0.49230;-0.028292;-1.850341;-1.696758;1.731310;5.219796;-2.203394;1.731077;5.229524;-2.201677;0.249661;0.062543;0.257842;0.040212;7.295195;28.929698
0.50986;-0.029860;-1.862727;-1.693825;1.724097;5.219985;-2.203315;1.727417;5.226359;-2.200805;0.249701;0.058678;0.236411;-0.032768;7.303640;29.047820
0.52667;-0.031392;-1.875118;-1.690937;1.719907;5.216057;-2.200659;1.716736;5.225837;-2.190752;0.249710;0.057761;0.254974;0.002909;7.312969;28.637321
0.54271;-0.032889;-1.887519;-1.688609;1.709326;5.215423;-2.187633;1.720431;5.215104;-2.186436;0.249812;0.046545;0.255629;0.062382;7.315830;28.523365
0.55905;-0.034358;-1.899925;-1.686585;1.712750;5.204236;-2.185627;1.733273;5.203533;-2.172473;0.249858;0.040484;0.266153;0.016185;7.320084;27.839316
0.57607;-0.035802;-1.912339;-1.685483;1.725999;5.192973;-2.175505;1.723444;5.191424;-2.185153;0.249958;0.022051;0.256463;-0.060639;7.318360;28.629038
0.59172;-0.037231;-1.924751;-1.683612;1.716051;5.180961;-2.186714;1.724760;5.182124;-2.189426;0.249878;0.037419;0.256210;-0.031205;7.322041;28.981003
0.60782;-0.038638;-1.937164;-1.681515;1.717737;5.172212;-2.184933;1.728674;5.179385;-2.183256;0.249847;0.041933;0.242956;0.089849;7.332711;28.747657
0.62433;-0.040018;-1.949582;-1.679812;1.722178;5.170101;-2.179447;1.728247;5.177755;-2.172819;0.249899;0.034060;0.226617;0.076193;7.343412;28.247249
0.64238;-0.041378;-1.962006;-1.678738;1.721172;5.167480;-2.174890;1.720323;5.180336;-2.177928;0.249960;0.021483;0.249515;-0.041417;7.356401;28.601500
0.65771;-0.042724;-1.974430;-1.677318;1.713155;5.169978;-2.174252;1.711668;5.178802;-2.171915;0.249930;0.028404;0.251926;0.073512;7.365230;28.338352
0.67374;-0.044053;-1.986857;-1.676227;1.704668;5.168637;-2.175769;1.722607;5.179748;-2.192980;0.249959;0.021816;0.246846;-0.077081;7.381146;29.607797
0.69088;-0.045368;-1.999278;-1.673914;1.716032;5.170531;-2.187763;1.713060;5.186222;-2.193865;0.249814;0.046247;0.226424;0.104343;7.397533;29.790990
0.70773;-0.046653;-2.011702;-1.671492;1.706372;5.176898;-2.192194;1.714890;5.197055;-2.189933;0.249796;0.048444;0.229494;0.033427;7.420863;29.704441
0.72568;-0.047909;-2.024130;-1.669284;1.706824;5.185696;-2.186660;1.715240;5.183027;-2.182574;0.249831;0.044160;0.278633;0.065445;7.419691;29.409323
0.74122;-0.049138;-2.036564;-1.667557;1.706747;5.170884;-2.179648;1.711468;5.179573;-2.176518;0.249896;0.034542;0.296359;0.058511;7.427811;29.161281
0.75776;-0.050345;-2.049003;-1.666187;1.704725;5.169818;-2.174680;1.700031;5.162565;-2.179381;0.249935;0.027397;0.237175;0.036760;7.420952;29.403831
0.77414;-0.051535;-2.061442;-1.664645;1.692946;5.152377;-2.177467;1.718608;5.169038;-2.180917;0.249917;0.030852;0.248199;0.038276;7.444007;29.580247
0.79121;-0.052706;-2.073882;-1.663069;1.712513;5.160333;-2.182274;1.714560;5.177034;-2.178230;0.249914;0.031519;0.212534;-0.027124;7.463177;29.516573
0.80774;-0.053858;-2.086326;-1.661616;1.707825;5.167348;-2.178550;1.715045;5.179922;-2.191852;0.249927;0.029061;0.235931;-0.006405;7.478461;30.380306
0.82419;-0.054990;-2.098765;-1.659340;1.707803;5.169771;-2.189218;1.704258;5.170644;-2.194074;0.249820;0.045523;0.249392;0.052685;7.479256;30.638013
0.84122;-0.056095;-2.111206;-1.656911;1.697418;5.161104;-2.191501;1.704975;5.176383;-2.182635;0.249795;0.048573;0.234773;0.051451;7.497354;30.121773
0.85738;-0.057170;-2.123654;-1.655156;1.697924;5.166317;-2.181039;1.689905;5.183664;-2.187326;0.249893;0.035099;0.245796;0.031919;7.513266;30.491113
0.87389;-0.058222;-2.136102;-1.653038;1.682699;5.173473;-2.185218;1.683130;5.169847;-2.181147;0.249844;0.042362;0.249633;0.042173;7.510606;30.258435
0.89043;-0.059249;-2.148555;-1.651300;1.675554;5.158991;-2.178939;1.673825;5.159580;-2.189930;0.249895;0.034758;0.264760;0.044157;7.510817;30.861254
0.90647;-0.060253;-2.161005;-1.649025;1.666700;5.149596;-2.191223;1.676700;5.163136;-2.187668;0.249820;0.045509;0.245302;-0.025842;7.527287;30.861989
0.92397;-0.061229;-2.173459;-1.646887;1.668997;5.152249;-2.185366;1.682372;5.164137;-2.185820;0.249841;0.042749;0.266717;0.046040;7.541914;30.878582
0.93933;-0.062179;-2.185916;-1.644881;1.674778;5.153331;-2.180835;1.691987;5.167760;-2.177455;0.249860;0.040118;0.264162;0.099708;7.560003;30.514231
0.95761;-0.063104;-2.198378;-1.643407;1.685865;5.158923;-2.175814;1.695811;5.155342;-2.170020;0.249925;0.029484;0.215002;0.032823;7.561149;30.172715
0.97312;-0.064011;-2.210843;-1.642428;1.688918;5.145260;-2.170897;1.682135;5.154113;-2.179945;0.249967;0.019574;0.244257;-0.017537;7.569121;30.797437
0.99065;-0.064905;-2.223307;-1.640801;1.674735;5.143566;-2.185177;1.674276;5.132778;-2.173975;0.249908;0.032544;0.257676;-0.104636;7.558885;30.548600
1.00613;-0.065779;-2.235773;-1.639558;1.666692;5.121770;-2.174156;1.674095;5.142697;-2.172980;0.249946;0.024869;0.267364;-0.003617;7.580830;30.562857
1.02365;-0.066638;-2.248241;-1.638346;1.665736;5.130526;-2.172350;1.695519;5.150944;-2.164920;0.249949;0.024230;0.295296;0.012609;7.606125;30.170475
1.03924;-0.067481;-2.260712;-1.637684;1.687816;5.139464;-2.158637;1.676910;5.128248;-2.161754;0.249985;0.013239;0.276477;0.125662;7.592077;30.027013
1.05576;-0.068317;-2.273184;-1.637197;1.670241;5.118328;-2.163546;1.676173;5.129973;-2.161122;0.249992;0.009741;0.239075;-0.035821;7.605917;30.018677
1.07278;-0.069146;-2.285656;-1.636740;1.669296;5.119684;-2.158853;1.676823;5.138042;-2.166099;0.249993;0.009136;0.247519;0.045384;7.626251;30.330034
1.09034;-0.069970;-2.298127;-1.635966;1.669800;5.127673;-2.166315;1.675234;5.146894;-2.156555;0.249979;0.015494;0.250474;-0.004318;7.646835;29.827593
1.10789;-0.070784;-2.310601;-1.635733;1.668885;5.137358;-2.159941;1.674135;5.128340;-2.152714;0.249998;0.004654;0.229131;-0.067718;7.640849;29.620819
1.12434;-0.071595;-2.323074;-1.635777;1.666833;5.117266;-2.154746;1.690811;5.116519;-2.154902;0.250000;-0.000874;0.265302;-0.040648;7.645497;29.743698
1.14140;-0.072407;-2.335548;-1.635790;1.683142;5.104891;-2.152880;1.686054;5.109444;-2.136219;0.250000;-0.000269;0.278582;0.040437;7.649843;28.672448
1.15853;-0.073218;-2.348019;-1.636924;1.680497;5.100695;-2.137081;1.692819;5.117330;-2.128680;0.249955;-0.022683;0.207295;-0.017238;7.671397;28.175514
1.17458;-0.074044;-2.360488;-1.638517;1.686759;5.107647;-2.131312;1.684728;5.116511;-2.133736;0.249912;-0.031857;0.228451;-0.052647;7.681067;28.373961
1.18965;-0.074890;-2.372956;-1.639775;1.678068;5.105990;-2.136494;1.688515;5.120399;-2.135601;0.249945;-0.025167;0.249027;-0.055156;7.698050;28.408687
1.20605;-0.075751;-2.385424;-1.640927;1.680822;5.108291;-2.138041;1.671979;5.101988;-2.141293;0.249954;-0.023030;0.286906;-0.048815;7.688687;28.668839
1.22256;-0.076627;-2.397893;-1.641719;1.665249;5.091524;-2.143494;1.678268;5.108698;-2.146782;0.249978;-0.015838;0.248841;-0.044033;7.708992;28.937960
1.24017;-0.077513;-2.410361;-1.642189;1.672071;5.099134;-2.144681;1.678845;5.104869;-2.161912;0.249992;-0.009405;0.227916;0.042010;7.717737;29.777933
1.25626;-0.078404;-2.422829;-1.641764;1.671959;5.094646;-2.165182;1.660371;5.098885;-2.165070;0.249994;0.008495;0.246526;-0.065407;7.720073;29.983222
1.27277;-0.079291;-2.435296;-1.641090;1.653791;5.089129;-2.163198;1.663952;5.102436;-2.176969;0.249984;0.013486;0.235353;0.037454;7.736685;30.703577
